N,K,D,noise_std,sparsity,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,5,"[400, 400, 400]",1.0,0.75,8,5,0.9402102850677835,0.9460975785505988,0.9994839483948394,model_cling_AD,,0.9422377080913668,0.7230116840094963
100,5,"[400, 400, 400]",1.0,0.75,12,5,0.9573044371119354,0.9609083908880613,0.9996783678367838,model_cling_AD,,0.9425366213795029,0.7200002922633802
100,5,"[400, 400, 400]",1.0,0.75,14,5,0.9437228714292636,0.9462053998896373,0.9995679567956793,model_cling_AD,,0.9454897406116918,0.7292735124050941
100,5,"[400, 400, 400]",1.0,0.75,2,5,0.9541701393673957,0.9558440937251389,0.9996615661566157,model_cling_AD,,0.9580332946186605,0.7274339496441716
100,5,"[400, 400, 400]",1.0,0.75,1,5,0.9480237758577467,0.9532873296808839,0.9993591359135913,model_cling_AD,,0.9454789365169399,0.7161776055716743
100,5,"[400, 400, 400]",1.0,0.75,6,5,0.9584630648268977,0.9665046035390233,0.9995127512751274,model_cling_AD,,0.9239113442176402,0.7299383231918716
100,5,"[400, 400, 400]",1.0,0.75,11,5,0.9359490683336514,0.9374855584220944,0.966041404140414,model_cling_AD,,0.8446621457156402,0.69478100067742
100,5,"[400, 400, 400]",1.0,0.75,15,5,0.9235815227774085,0.925698144282423,0.9456729672967296,model_cling_AD,,0.7982078128384266,0.6837325410267892
100,5,"[400, 400, 400]",1.0,0.75,4,5,0.9676253049863898,0.9768006700378855,0.9079195919591958,model_cling_AD,,0.7270041135063874,0.6886088942997481
100,5,"[400, 400, 400]",1.0,0.75,10,5,0.968664608687349,0.9746614755038623,0.9996783678367835,model_cling_AD,,0.9482771970576849,0.7216810404985717
100,5,"[400, 400, 400]",1.0,0.75,9,5,0.932983298714503,0.9410325440009333,0.9995367536753674,model_cling_AD,,0.9270193221412735,0.7302837186009942
100,5,"[400, 400, 400]",1.0,0.75,5,5,0.9267609130131221,0.9268020262604394,0.9994359435943594,model_cling_AD,,0.9580332946186605,0.7234690508675106
100,5,"[400, 400, 400]",1.0,0.75,3,5,0.9533813367419354,0.9619211784902625,0.9995823582358234,model_cling_AD,,0.9454897406116918,0.7268405195307145
100,5,"[400, 400, 400]",1.0,0.75,0,5,0.9592994696398168,0.9826478576922333,0.9996711671167116,model_cling_AD,,0.9454789365169399,0.7234464927933452
100,5,"[400, 400, 400]",1.0,0.75,13,5,0.9471368429186344,0.9475803650461828,0.9995391539153914,model_cling_AD,,0.9611304684475416,0.7307238567409229
100,5,"[400, 400, 400]",1.0,0.75,7,5,0.9363566474579822,0.9466112190851196,0.9994671467146713,model_cling_AD,,0.9549361207897794,0.6991311604286039
100,1,"[400, 400, 400]",1.0,0.75,3,1,0.683948705239343,0.7323264750011412,0.9995199519951995,model_cling_AD,,0.9519938056523422,0.7030789698674362
100,1,"[400, 400, 400]",1.0,0.75,0,1,0.7299727298077001,0.7850577076308197,0.9995799579957995,model_cling_AD,,0.9357336430507162,0.7018338001087834
100,1,"[400, 400, 400]",1.0,0.75,2,1,0.7686116734110163,0.811858546347961,0.9996879687968797,model_cling_AD,,0.9519938056523422,0.7480935235196812
100,1,"[400, 400, 400]",1.0,0.75,5,1,0.6609168516759016,0.9963452251223094,0.99996399639964,model_cling_AD,,0.9512195121951219,0.736037535505325
100,1,"[400, 400, 400]",1.0,0.75,6,1,0.8161286415670679,0.9708733402453485,0.9998559855985597,model_cling_AD,,0.9217423403469915,0.7094923611521912
100,1,"[400, 400, 400]",1.0,0.75,4,1,0.8186697338014973,0.947428520192679,0.9998919891989198,model_cling_AD,,0.9674796747967479,0.7112245879028117
100,1,"[400, 400, 400]",1.0,0.75,1,1,0.6772764810552587,0.6871292399179223,0.999123912391239,model_cling_AD,,0.9054821777453655,0.7248648229251696
100,1,"[400, 400, 400]",1.0,0.75,8,1,0.7175304540102229,0.7733655275802815,0.9997599759975996,model_cling_AD,,0.9357336430507162,0.7391437016713464
100,1,"[400, 400, 400]",1.0,0.75,9,1,0.5930922916076669,0.6138853139306113,0.9993519351935193,model_cling_AD,,0.9512195121951219,0.724843988849884
100,1,"[400, 400, 400]",1.0,0.75,7,1,0.6947437370171891,0.7014392531867941,0.9996279627962795,model_cling_AD,,0.9682539682539683,0.7228705516560355
100,1,"[400, 400, 400]",1.0,0.75,10,1,0.6968256217690229,0.7874525441195053,0.9995679567956794,model_cling_AD,,0.9054821777453655,0.7066140947912641
100,1,"[400, 400, 400]",1.0,0.75,11,1,0.7468949989297234,0.7810319188943248,0.9995559555955594,model_cling_AD,,0.9047619047619048,0.7450883167469197
100,1,"[400, 400, 400]",1.0,0.75,12,1,0.7834272718044429,0.8924450043027137,0.9998319831983197,model_cling_AD,,0.9674796747967479,0.7229609035442541
100,1,"[400, 400, 400]",1.0,0.75,13,1,0.8214740735058664,0.9430988024712853,0.9998199819981998,model_cling_AD,,0.9512195121951219,0.7371581916134295
100,1,"[400, 400, 400]",1.0,0.75,15,1,0.7840822015798627,0.8098248988051927,0.9996159615961595,model_cling_AD,,0.9209680468897711,0.7129620197623998
100,1,"[400, 400, 400]",1.0,0.75,14,1,0.5935620650054361,0.6030829219204572,0.9994959495949594,model_cling_AD,,0.9209680468897711,0.7296029571489301
100,1,"[400, 400, 400]",1.0,0.75,18,1,0.8043741345198963,0.8280076303756168,0.9996759675967596,model_cling_AD,,0.9512195121951219,0.7290144551331608
100,1,"[400, 400, 400]",1.0,0.75,16,1,0.7289207636292795,0.7421373729550904,0.9994479447944794,model_cling_AD,,0.9357336430507162,0.7311431231608357
100,1,"[400, 400, 400]",1.0,0.75,17,1,0.6923723177961101,0.6951312177927426,0.9995679567956794,model_cling_AD,,0.9519938056523422,0.698175697871921
100,1,"[400, 400, 400]",1.0,0.75,19,1,0.8190248756968801,0.8194976563974516,0.9996759675967596,model_cling_AD,,0.9682539682539683,0.7167738981195569
100,5,"[400, 400, 400]",1.0,0.75,16,5,0.9507698655097411,0.9536473021011902,0.8788982898289829,model_cling_AD,,0.7026019354679989,0.6511297157744455
100,5,"[400, 400, 400]",1.0,0.75,17,5,0.949962098935123,0.963849172303668,0.9996039603960396,model_cling_AD,,0.9580332946186605,0.7198634431540739
100,5,"[400, 400, 400]",1.0,0.75,18,5,0.927047886246909,0.9273032527469007,0.9994167416741673,model_cling_AD,,0.945633795208384,0.7277945886206021
100,5,"[400, 400, 400]",1.0,0.75,19,5,0.9395948793215775,0.9668831939802617,0.9994551455145514,model_cling_AD,,0.9335332090862437,0.7082278980559483
100,7,"[400, 400, 400]",1.0,0.75,2,7,0.9648569773078105,0.9659150969293002,0.9970391324846769,model_cling_AD,,0.9410051994121357,0.7157742845288949
100,7,"[400, 400, 400]",1.0,0.75,1,7,0.96594377929581,0.9829579164661661,0.9508722300801509,model_cling_AD,,0.8178604573582792,0.6923130573291016
100,7,"[400, 400, 400]",1.0,0.75,3,7,0.950648077353703,0.9566338277872779,0.9231751746603231,model_cling_AD,,0.7854293182942813,0.6867834722921862
100,7,"[400, 400, 400]",1.0,0.75,0,7,0.9430434023101153,0.9435620997834367,0.9994085122797992,model_cling_AD,,0.9361683792443051,0.7199780872323458
100,7,"[400, 400, 400]",1.0,0.75,7,7,0.9678539106683273,0.9819949468763401,0.9991993485062791,model_cling_AD,,0.9275173862322393,0.7337705976128597
100,7,"[400, 400, 400]",1.0,0.75,5,7,0.9743358828463862,0.9770503858064883,0.9993193605074792,model_cling_AD,,0.9429157936572248,0.7220351042385337
100,7,"[400, 400, 400]",1.0,0.75,4,7,0.9673241072740874,0.9756277165698337,0.9994153701084393,model_cling_AD,,0.9408064227770897,0.7208467503259741
100,7,"[400, 400, 400]",1.0,0.75,6,7,0.9793056787427487,0.9821864389883391,0.9995388110239595,model_cling_AD,,0.9428933435902077,0.7289431427565903
100,7,"[400, 400, 400]",1.0,0.75,8,7,0.9698885349086227,0.9768119534014349,0.9012164073550212,model_cling_AD,,0.7342625334237989,0.6645272136445782
100,7,"[400, 400, 400]",1.0,0.75,9,7,0.9462968850195356,0.9464625566744603,0.9993673653079593,model_cling_AD,,0.9519938056523423,0.7170784357565252
100,7,"[400, 400, 400]",1.0,0.75,10,7,0.9758685113941179,0.9919251526595351,0.9996125326818396,model_cling_AD,,0.9545224783049919,0.726011555479077
100,7,"[400, 400, 400]",1.0,0.75,11,7,0.9642199888323192,0.9673699896185192,0.9396596802537395,model_cling_AD,,0.8174465915525883,0.6794962158638936
100,7,"[400, 400, 400]",1.0,0.75,12,7,0.9522418489788128,0.9586533013400922,0.9994376580515193,model_cling_AD,,0.9340590083641702,0.7241520069433622
100,7,"[400, 400, 400]",1.0,0.75,13,7,0.9686416253157804,0.9852747857218069,0.9595610989670394,model_cling_AD,,0.8442175809591385,0.6874661664999872
100,7,"[400, 400, 400]",1.0,0.75,15,7,0.9564675716318339,0.9669204867525446,0.9994753761090394,model_cling_AD,,0.9407035266365953,0.7218086889173007
100,7,"[400, 400, 400]",1.0,0.75,14,7,0.9685508252941754,0.9743256355627351,0.9994342291371993,model_cling_AD,,0.9339483950131385,0.7304991994467479
100,7,"[400, 400, 400]",1.0,0.75,18,7,0.9693858806352799,0.9909243697384229,0.9996365350820796,model_cling_AD,,0.9383806462649344,0.7230834637304197
100,7,"[400, 400, 400]",1.0,0.75,17,7,0.9638573281984869,0.9651089436368596,0.9592113497063991,model_cling_AD,,0.8389698022080981,0.6934716849088951
100,7,"[400, 400, 400]",1.0,0.75,16,7,0.970698652418163,0.9843095220270042,0.9996056748531995,model_cling_AD,,0.9274144900917447,0.7379392199103507
100,7,"[400, 400, 400]",1.0,0.75,19,7,0.9751429256490459,0.985529133995246,0.9995885302815996,model_cling_AD,,0.9405851960750269,0.7135495042107239
100,10,"[400, 400, 400]",1.0,0.75,2,10,0.9782398614439834,0.9787204290324396,0.9623390339033902,model_cling_AD,,0.844266251228,0.6920646152451295
100,10,"[400, 400, 400]",1.0,0.75,1,10,0.9740331865120845,0.9746697761204104,0.9993231323132312,model_cling_AD,,0.9364088989727105,0.7223093247375811
100,10,"[400, 400, 400]",1.0,0.75,0,10,0.9731954947069269,0.9749120312144101,0.9794371437143713,model_cling_AD,,0.8669567566362969,0.7034315592187483
100,10,"[400, 400, 400]",1.0,0.75,3,10,0.983498274553666,0.9898951123618582,0.9716327632763276,model_cling_AD,,0.8676979548502046,0.7091780698493679
100,10,"[400, 400, 400]",1.0,0.75,6,10,0.967802220965455,0.9688798459376866,0.9994455445544552,model_cling_AD,,0.9580332946186606,0.730710642018705
100,10,"[400, 400, 400]",1.0,0.75,5,10,0.9705436022797094,0.9717471894319284,0.9993075307530752,model_cling_AD,,0.9503623873448037,0.722341143693758
100,10,"[400, 400, 400]",1.0,0.75,4,10,0.9715920621792731,0.9725492881885802,0.9994095409540952,model_cling_AD,,0.9439303496024996,0.7250157920452018
100,10,"[400, 400, 400]",1.0,0.75,7,10,0.9744029613651416,0.9849227351877269,0.9752799279927992,model_cling_AD,,0.8623116536724159,0.7167953764758069
100,10,"[400, 400, 400]",1.0,0.75,8,10,0.966179389301942,0.9692026523609216,0.9994587458745874,model_cling_AD,,0.9454123112659699,0.72841534334007
100,10,"[400, 400, 400]",1.0,0.75,9,10,0.9667220717359274,0.9677934656473862,0.9994203420342032,model_cling_AD,,0.9423151374370886,0.7166498357587961
100,10,"[400, 400, 400]",1.0,0.75,10,10,0.9734736669778719,0.9772249354385816,0.9994311431143114,model_cling_AD,,0.945489740611692,0.7253552276479721
100,10,"[400, 400, 400]",1.0,0.75,11,10,0.9778337654185766,0.9781571759008423,0.9995187518751874,model_cling_AD,,0.9454843385643159,0.721751892709042
100,10,"[400, 400, 400]",1.0,0.75,12,10,0.9823011982557849,0.9930475557873197,0.9995823582358236,model_cling_AD,,0.9470329254787567,0.727176780516699
100,10,"[400, 400, 400]",1.0,0.75,13,10,0.9738167934673684,0.9748415771058709,0.9448868886888688,model_cling_AD,,0.8196739620049871,0.6996193179757301
100,10,"[400, 400, 400]",1.0,0.75,14,10,0.9786006427739183,0.9788398456744724,0.9579765976597658,model_cling_AD,,0.8527458501199201,0.7051894974425977
100,10,"[400, 400, 400]",1.0,0.75,15,10,0.9728690230374474,0.9733726945894838,0.9994875487548753,model_cling_AD,,0.9410600617634084,0.7180517915494834
100,10,"[400, 400, 400]",1.0,0.75,16,10,0.972591208759685,0.9739159404885988,0.9994227422742273,model_cling_AD,,0.939506072801592,0.7256992928709525
100,10,"[400, 400, 400]",1.0,0.75,18,10,0.9768647845207651,0.9776141166803024,0.9924920492049203,model_cling_AD,,0.9171057551441045,0.7150622570847899
100,10,"[400, 400, 400]",1.0,0.75,17,10,0.9806032393177367,0.9821954348663428,0.9547482748274827,model_cling_AD,,0.8355988696051868,0.7072567199424437
100,10,"[400, 400, 400]",1.0,0.75,19,10,0.9809652538773638,0.989148052772072,0.9994503450345034,model_cling_AD,,0.9440131809955974,0.7154668050767969
100,15,"[400, 400, 400]",1.0,0.75,3,15,0.98863140303358,0.9890598591563614,0.97212601260126,model_cling_AD,,0.8525108471346534,0.7030510057376301
100,15,"[400, 400, 400]",1.0,0.75,5,15,0.9588588271636959,0.967596346259123,0.9994039403940392,model_cling_AD,,0.9391264561996271,0.7197390221343094
100,15,"[400, 400, 400]",1.0,0.75,7,15,0.986882665168277,0.9883051291782085,0.9689152915291529,model_cling_AD,,0.8721204402581546,0.7104504288450227
100,15,"[400, 400, 400]",1.0,0.75,1,15,0.9853375735772566,0.9889244205086987,0.9995135513551355,model_cling_AD,,0.9466697878495951,0.7212306197591815
100,15,"[400, 400, 400]",1.0,0.75,4,15,0.9880844808541841,0.9881591188985723,0.9994575457545755,model_cling_AD,,0.9444537479704809,0.7262246508788072
100,15,"[400, 400, 400]",1.0,0.75,0,15,0.9773327940408048,0.9786083900443144,0.9994743474347434,model_cling_AD,,0.929001818962114,0.7185267022722979
100,15,"[400, 400, 400]",1.0,0.75,2,15,0.9834164962441782,0.9812703212379748,0.9994743474347435,model_cling_AD,,0.9446494221309877,0.7243408702088789
100,15,"[400, 400, 400]",1.0,0.75,6,15,0.9560428069621674,0.9577525365624612,0.9715739573957394,model_cling_AD,,0.8587461250310783,0.7066590139440303
100,15,"[400, 400, 400]",1.0,0.75,10,15,0.9919467790158101,0.9947332868843347,0.9992783278327833,model_cling_AD,,0.941205316815073,0.7248588922712897
100,15,"[400, 400, 400]",1.0,0.75,9,15,0.9636922168530572,0.969210843018228,0.987097109710971,model_cling_AD,,0.8993554511948503,0.7062586520952714
100,15,"[400, 400, 400]",1.0,0.75,8,15,0.9732216822065798,0.9751763100910666,0.9994559455945595,model_cling_AD,,0.9380529220574599,0.7251428628167653
100,15,"[400, 400, 400]",1.0,0.75,11,15,0.980913658955343,0.9809817105223487,0.9726612661266125,model_cling_AD,,0.876581940675227,0.7034030238666328
100,15,"[400, 400, 400]",1.0,0.75,15,15,0.9847013389862257,0.9872926083208516,0.9994983498349833,model_cling_AD,,0.9363729398896727,0.7222612423288896
100,15,"[400, 400, 400]",1.0,0.75,13,15,0.9930687845716436,0.9971639086315257,0.9994599459945993,model_cling_AD,,0.9444501466055636,0.7214062261123484
100,15,"[400, 400, 400]",1.0,0.75,12,15,0.976709585518992,0.9825908189765501,0.9994943494349433,model_cling_AD,,0.943572614020714,0.7259047820239254
100,15,"[400, 400, 400]",1.0,0.75,14,15,0.9834499882348445,0.9837514822256705,0.9938745874587457,model_cling_AD,,0.9186163597961673,0.7226894085657997
100,15,"[400, 400, 400]",1.0,0.75,16,15,0.9860833278118041,0.9871949862008761,0.9516751675167516,model_cling_AD,,0.8169873806015913,0.6909177389571112
100,15,"[400, 400, 400]",1.0,0.75,17,15,0.9703823796207726,0.9683384290155828,0.9994927492749276,model_cling_AD,,0.9466217696506977,0.7255953819285748
100,15,"[400, 400, 400]",1.0,0.75,18,15,0.9636231822377633,0.9625296326772552,0.9805508550855085,model_cling_AD,,0.8784696178941077,0.7034030017905327
100,15,"[400, 400, 400]",1.0,0.75,19,15,0.9817155971357376,0.981894410063779,0.982064606460646,model_cling_AD,,0.8753354462553288,0.7011626220925179
100,20,"[400, 400, 400]",1.0,0.75,4,20,0.9928006475599799,0.9950228780529294,0.9994575457545756,model_cling_AD,,0.9373743103181561,0.7292648126152763
100,20,"[400, 400, 400]",1.0,0.75,0,20,0.9875945274561716,0.9885602112202869,0.9993309330933092,model_cling_AD,,0.9371111651315849,0.7199221278782116
100,20,"[400, 400, 400]",1.0,0.75,1,20,0.989567959114158,0.9913697117861437,0.9994155415541552,model_cling_AD,,0.940689121176926,0.7205834656298771
100,20,"[400, 400, 400]",1.0,0.75,2,20,0.988249388003687,0.9896267370921142,0.9987488748874889,model_cling_AD,,0.9318714247245162,0.7224291564721909
100,20,"[400, 400, 400]",1.0,0.75,3,20,0.990283005501389,0.9903503168243357,0.9690297029702968,model_cling_AD,,0.8580811805928928,0.6978115241627224
100,20,"[400, 400, 400]",1.0,0.75,13,20,0.9944473092204883,0.9954403008279961,0.9995253525352534,model_cling_AD,,0.9454456238914549,0.7199161209155809
100,20,"[400, 400, 400]",1.0,0.75,5,20,0.9867678049925814,0.9879209094066448,0.9754179417941794,model_cling_AD,,0.8858546112767738,0.7101733386503823
100,20,"[400, 400, 400]",1.0,0.75,7,20,0.9888805060364884,0.9890234645709004,0.9994221422142214,model_cling_AD,,0.9393233035320386,0.722156294875158
100,20,"[400, 400, 400]",1.0,0.75,6,20,0.9938473406612319,0.9951064104417497,0.9977215721572155,model_cling_AD,,0.9409698918813449,0.7256699129912689
100,20,"[400, 400, 400]",1.0,0.75,8,20,0.9873759380725935,0.9886627814792697,0.9995043504350434,model_cling_AD,,0.945561767910038,0.7252046771631933
100,20,"[400, 400, 400]",1.0,0.75,9,20,0.9897795981394205,0.9899091637321467,0.9973501350135013,model_cling_AD,,0.9265422446170929,0.719376276775748
100,20,"[400, 400, 400]",1.0,0.75,11,20,0.9896656693487085,0.9898229266111656,0.9995079507950795,model_cling_AD,,0.9448234881019907,0.7247017854793859
100,20,"[400, 400, 400]",1.0,0.75,10,20,0.9906589408666635,0.9939793217940182,0.9994227422742272,model_cling_AD,,0.9408307202975384,0.7207259781758463
100,20,"[400, 400, 400]",1.0,0.75,12,20,0.9919083597311976,0.9986285672669825,0.9994515451545155,model_cling_AD,,0.9422710207168519,0.7249301439775596
100,20,"[400, 400, 400]",1.0,0.75,19,20,0.9936951415727018,0.9941559243250987,0.9914377437743773,model_cling_AD,,0.9055716597120167,0.7078065523030757
100,20,"[400, 400, 400]",1.0,0.75,14,20,0.9897895898824774,0.9898532856909822,0.9953621362136215,model_cling_AD,,0.916569699352363,0.719032192492368
100,20,"[400, 400, 400]",1.0,0.75,15,20,0.9880352629510845,0.9881398058377608,0.9994389438943895,model_cling_AD,,0.9386906091954307,0.7240748814945367
100,20,"[400, 400, 400]",1.0,0.75,16,20,0.9892555646656446,0.9896227109286284,0.9994269426942693,model_cling_AD,,0.9393593171812118,0.7290472662547735
100,20,"[400, 400, 400]",1.0,0.75,17,20,0.9916039121629856,0.9927164536384453,0.9994917491749176,model_cling_AD,,0.9495775353404396,0.7276797921861072
100,20,"[400, 400, 400]",1.0,0.75,18,20,0.9913358684108746,0.9914984508102668,0.9911815181518151,model_cling_AD,,0.9052461650368421,0.7079874898705575
100,25,"[400, 400, 400]",1.0,0.75,0,25,0.9838805418571551,0.9821694331025147,0.995423222322232,model_cling_AD,,0.9017632337201253,0.7051580979731562
100,25,"[400, 400, 400]",1.0,0.75,1,25,0.9770713727872691,0.979374112613364,0.9981902190219022,model_cling_AD,,0.9204485991099716,0.7125281896132909
100,25,"[400, 400, 400]",1.0,0.75,3,25,0.9709269433870388,0.9966415850035449,0.9951481548154814,model_cling_AD,,0.9029149915516241,0.7137585489693298
100,25,"[400, 400, 400]",1.0,0.75,2,25,0.9905911443743459,0.990799159396604,0.9966252625262523,model_cling_AD,,0.9013568038443324,0.7026658618472027
100,25,"[400, 400, 400]",1.0,0.75,5,25,0.9920491845889797,0.9922820712578222,0.996178817881788,model_cling_AD,,0.9023927694901976,0.7043187263970655
100,5,"[400, 400, 400]",0.25,0.75,0,5,0.9978180713426427,0.999001037504451,0.9584950495049505,model_cling_AD,,0.8635555649713268,0.7064155676406046
100,25,"[400, 400, 400]",1.0,0.75,4,25,0.9868862405338117,0.9862304032202599,0.998722112211221,model_cling_AD,,0.916019247658499,0.7124631399464972
100,25,"[400, 400, 400]",1.0,0.75,8,25,0.9868319541595635,0.9868732016813629,0.9985291329132913,model_cling_AD,,0.9250427402894789,0.7155268791107493
100,25,"[400, 400, 400]",1.0,0.75,7,24,0.9847667750327803,0.9847914513604303,0.9679452745274527,model_cling_AD,,0.8844366558466328,0.6924287107178325
100,25,"[400, 400, 400]",1.0,0.75,6,25,0.9921250506627174,0.9925469382355525,0.9990379837983798,model_cling_AD,,0.9310085649733977,0.7204398599060317
100,5,"[400, 400, 400]",0.25,0.75,1,5,0.9971629676212271,0.9986540984096319,0.9623930393039304,model_cling_AD,,0.8062220236348833,0.692418030837745
100,5,"[400, 400, 400]",0.25,0.75,2,5,0.9962141274732713,0.9964943481285539,0.8528292829282927,model_cling_AD,,0.5882524834027257,0.6547315682716094
100,5,"[400, 400, 400]",0.25,0.75,3,5,0.9961564024445219,0.9962515565859916,0.9533057305730572,model_cling_AD,,0.7664715106974759,0.6740955059719095
100,5,"[400, 400, 400]",0.25,0.75,4,5,0.9961455554213243,0.9963670589510407,0.8899249924992498,model_cling_AD,,0.6658510781400933,0.6530939529796055
100,5,"[400, 400, 400]",0.25,0.75,5,5,0.9945482754523752,0.9945595295538835,0.9326924692469246,model_cling_AD,,0.7474305814793109,0.6733568330320215
100,25,"[400, 400, 400]",1.0,0.75,9,25,0.9693940560941819,0.9705424364289076,0.9980260426042604,model_cling_AD,,0.9176508187512157,0.7084873288028956
100,5,"[400, 400, 400]",0.25,0.75,6,5,0.9980659862299444,0.9983381880263705,0.9870555055505548,model_cling_AD,,0.9210296259594639,0.7360948227690514
100,5,"[400, 400, 400]",0.25,0.75,7,5,0.9967986736981169,0.9974885303413442,0.9160684068406841,model_cling_AD,,0.7421993951903861,0.6843995552930092
100,25,"[400, 400, 400]",1.0,0.75,10,25,0.9785887120955983,0.9844566144538223,0.9942091809180917,model_cling_AD,,0.9053871677158765,0.7068940755786703
100,5,"[400, 400, 400]",0.25,0.75,8,5,0.9965207003271521,0.9966080947256766,0.8751227122712271,model_cling_AD,,0.6412382662624434,0.6568772167729336
100,5,"[400, 400, 400]",0.25,0.75,9,5,0.9958342733830953,0.9959508611639108,0.8950255025502549,model_cling_AD,,0.7223192856096596,0.6843007723053175
100,5,"[400, 400, 400]",0.25,0.75,10,5,0.9958232080052927,0.996270038239674,0.9020246024602461,model_cling_AD,,0.7561333216617769,0.6801807596685571
100,5,"[400, 400, 400]",0.25,0.75,11,5,0.9963402896941883,0.9964050461452245,0.8050453045304529,model_cling_AD,,0.45600711864463406,0.5963215708056906
100,5,"[400, 400, 400]",0.25,0.75,12,5,0.9979954369978822,0.9998140935764346,0.8452301230123013,model_cling_AD,,0.5819446375400935,0.6159135232100366
100,5,"[400, 400, 400]",0.25,0.75,13,5,0.9962661510106182,0.9963179611379254,0.8237503750375037,model_cling_AD,,0.5330001527940963,0.6095901023081826
100,5,"[400, 400, 400]",0.25,0.75,14,5,0.9969839524857296,0.9970573537773202,0.9584734473447345,model_cling_AD,,0.821589245207507,0.7112859391129915
100,5,"[400, 400, 400]",0.25,0.75,15,5,0.9963221196926929,0.9963289345349621,0.8200948094809479,model_cling_AD,,0.4746213257367813,0.6018411880808666
100,5,"[400, 400, 400]",0.25,0.75,16,5,0.9969486017857175,0.9970488640660595,0.8311911191119112,model_cling_AD,,0.5343345148751691,0.6176537047866287
100,5,"[400, 400, 400]",0.25,0.75,17,5,0.9966918595803625,0.9976713770288342,0.9814413441344133,model_cling_AD,,0.9203188878150037,0.7188060180140703
100,5,"[400, 400, 400]",0.25,0.75,18,5,0.9951149394569389,0.9951338875342455,0.8553687368736872,model_cling_AD,,0.6357759714519358,0.629443476096048
100,5,"[400, 400, 400]",0.25,0.75,19,5,0.9959229775609351,0.9978662584802678,0.9889828982898289,model_cling_AD,,0.8915410642761269,0.7095146007239145
100,25,"[400, 400, 400]",1.0,0.75,11,25,0.9890440572423334,0.9900071840535908,0.9973856585658565,model_cling_AD,,0.9154436622388975,0.7062360183058113
100,25,"[400, 400, 400]",1.0,0.75,12,25,0.988962848639995,0.9891302679253,0.9975253525352534,model_cling_AD,,0.9297116807269956,0.7164550987893608
100,25,"[400, 400, 400]",1.0,0.75,13,25,0.9893749717641698,0.9903214507646414,0.9970601860186018,model_cling_AD,,0.9102438806125701,0.7133786199280269
100,5,"[400, 400, 400]",0.5,0.75,0,5,0.9913680883377394,0.9960126185928091,0.9667110711071105,model_cling_AD,,0.8751742230661399,0.7043930407577916
100,5,"[400, 400, 400]",0.5,0.75,1,5,0.9887551829265547,0.9946189345710956,0.9997983798379837,model_cling_AD,,0.9674796747967479,0.7406376068395626
100,5,"[400, 400, 400]",0.5,0.75,2,5,0.9849846823555038,0.9860721333733294,0.8932469246924691,model_cling_AD,,0.7313219073272946,0.6900906444167856
100,5,"[400, 400, 400]",0.5,0.75,3,5,0.9847738050713303,0.9851377944873426,0.9946666666666666,model_cling_AD,,0.9336674417786159,0.7191823283118833
100,5,"[400, 400, 400]",0.5,0.75,4,5,0.9847189132425073,0.9855752419572389,0.9371521152115211,model_cling_AD,,0.8022703687709013,0.7001910063270949
