N,K,D,noise_std,sparsity,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,5,"[400, 400, 400]",1.0,0.75,4,6,0.9404689217739494,0.9406004882254745,0.8185802580258024,model_cling_a,,0.5457831813851652,0.6271235230087097
100,5,"[400, 400, 400]",1.0,0.75,1,5,0.9363768406821777,0.9369283096945257,0.882112211221122,model_cling_a,,0.7071478894328702,0.6706815823940574
100,5,"[400, 400, 400]",1.0,0.75,3,5,0.942747707694655,0.9528955846943394,0.9662862286228622,model_cling_a,,0.8011344312180982,0.6906406758018976
100,5,"[400, 400, 400]",1.0,0.75,2,5,0.9409583340573873,0.945527445587979,0.9995871587158716,model_cling_a,,0.945633795208384,0.7341091469397377
100,5,"[400, 400, 400]",1.0,0.75,0,5,0.9200820052891152,0.9338665079419153,0.9164884488448845,model_cling_a,,0.7257729908101087,0.6724080747351165
100,5,"[400, 400, 400]",1.0,0.75,5,5,0.9246163444201626,0.9259726420502497,0.8966096609660964,model_cling_a,,0.682287930449225,0.6608207064663927
100,5,"[400, 400, 400]",1.0,0.75,6,5,0.9315969289157103,0.931605971272973,0.9967356735673567,model_cling_a,,0.933811496375308,0.7261608933924256
100,5,"[400, 400, 400]",1.0,0.75,9,2,0.6025489304928062,0.9875519675123653,0.46200300030003005,model_cling_a,,0.3869806540792464,0.39497215797594704
100,5,"[400, 400, 400]",1.0,0.75,7,6,0.9159460017382651,0.9174708140289776,0.9988718871887189,model_cling_a,,0.8402065656694486,0.6921430956840493
100,5,"[400, 400, 400]",1.0,0.75,8,5,0.9316457667735977,0.9353242307878509,0.8349978997899787,model_cling_a,,0.5805802332837983,0.6138222041379778
100,5,"[400, 400, 400]",1.0,0.75,10,5,0.923596427226911,0.9255359500465653,0.7894461446144614,model_cling_a,,0.506931144283032,0.5729538241173597
100,5,"[400, 400, 400]",1.0,0.75,11,5,0.941276932529377,0.9440703596563075,0.8934365436543654,model_cling_a,,0.7204221543320444,0.6588383286864479
100,5,"[400, 400, 400]",1.0,0.75,13,5,0.9498957117302606,0.963221073974092,0.7651077107710771,model_cling_a,,0.4674241912636372,0.5823967428618247
100,5,"[400, 400, 400]",1.0,0.75,12,4,0.9170566693817745,0.990309651730174,0.8248448844884487,model_cling_a,,0.7619553370241492,0.590749172367168
100,5,"[400, 400, 400]",1.0,0.75,14,5,0.9365571974972392,0.9374225799809935,0.877148514851485,model_cling_a,,0.6350119179269252,0.6397188587421364
100,5,"[400, 400, 400]",1.0,0.75,15,5,0.9364478877068368,0.9429777065465761,0.967056705670567,model_cling_a,,0.8352991898215139,0.6934018188859584
100,5,"[400, 400, 400]",1.0,0.75,17,6,0.9402166969823161,0.9416673725453064,0.999193519351935,model_cling_a,,0.8622985890726341,0.6934757514544896
100,5,"[400, 400, 400]",1.0,0.75,16,5,0.9314463506736473,0.9366247063991628,0.8911299129912991,model_cling_a,,0.7084774032244537,0.6618911402617449
100,5,"[400, 400, 400]",1.0,0.75,18,5,0.9478865546709474,0.9544184061311101,0.8799111911191119,model_cling_a,,0.6718619479290662,0.6524640314051084
100,5,"[400, 400, 400]",1.0,0.75,19,6,0.9437901551177003,0.9617802635485244,0.9970333033303328,model_cling_a,,0.8329403432136073,0.6978231101333058
100,1,"[400, 400, 400]",1.0,0.75,1,1,0.6201352996875809,0.6751918632030038,0.999015901590159,model_cling_a,,0.9674796747967479,0.7235500157305549
100,1,"[400, 400, 400]",1.0,0.75,2,1,0.6835685458671835,0.6962769624737242,0.9993639363936392,model_cling_a,,0.9202477739063104,0.7406198831367453
100,1,"[400, 400, 400]",1.0,0.75,0,2,0.6843415817079048,0.7766903640044762,0.9989918991899188,model_cling_a,,0.6558112606744826,0.6509138577242465
100,1,"[400, 400, 400]",1.0,0.75,3,1,0.713167742035416,0.7674774224549265,0.9992919291929192,model_cling_a,,0.9519938056523422,0.7353881174001761
100,1,"[400, 400, 400]",1.0,0.75,4,1,0.670251596494448,0.6790895345412457,0.9994239423942393,model_cling_a,,0.9512195121951219,0.75819987160072
