N,K,D,noise_std,sparsity,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,5,"[400, 400, 400]",1.0,0.75,2,5,0.9338346107704797,0.9347981220556039,0.8834995499549955,model_cling_prune_c,,0.7135449622475221,0.6532375898392676
100,5,"[400, 400, 400]",1.0,0.75,0,5,0.9389070151869164,0.9702508727427815,0.8768772877287727,model_cling_prune_c,,0.6964487243109906,0.6487697104784578
100,5,"[400, 400, 400]",1.0,0.75,3,5,0.9215315580974129,0.9239147044130013,0.7809660966096608,model_cling_prune_c,,0.46749603697782643,0.607976289849322
100,5,"[400, 400, 400]",1.0,0.75,1,5,0.9321792922179241,0.9366224010394388,0.9676447644764476,model_cling_prune_c,,0.8559993701978473,0.7000623888116159
100,5,"[400, 400, 400]",1.0,0.75,4,7,0.9411913453306705,0.9531703547806972,0.9768520852085206,model_cling_prune_c,,0.7949081363234841,0.6844112009423376
100,5,"[400, 400, 400]",1.0,0.75,9,4,0.8675054698820132,0.9936787813652734,0.7232019201920192,model_cling_prune_c,,0.5360070752269503,0.5664941984171762
100,5,"[400, 400, 400]",1.0,0.75,5,6,0.9488627696949342,0.9552633397985247,0.9185574557455745,model_cling_prune_c,,0.651530762075173,0.6523853328246336
100,5,"[400, 400, 400]",1.0,0.75,6,6,0.9423300185283096,0.9464123160488148,0.974924692469247,model_cling_prune_c,,0.7785072569159672,0.676815301185043
100,5,"[400, 400, 400]",1.0,0.75,8,6,0.9262874655768684,0.9296106542437991,0.9967116711671167,model_cling_prune_c,,0.8746299806897331,0.7048674821947785
100,5,"[400, 400, 400]",1.0,0.75,7,6,0.921881596506867,0.937085901118421,0.9621770177017701,model_cling_prune_c,,0.7331788368284939,0.6635702054707411
100,5,"[400, 400, 400]",1.0,0.75,12,5,0.9593868304430647,0.9963314046578194,0.9180702070207019,model_cling_prune_c,,0.7599942219127077,0.6815457623823681
100,5,"[400, 400, 400]",1.0,0.75,10,7,0.9381946292170326,0.9415695647299258,0.944062406240624,model_cling_prune_c,,0.682956330946245,0.650713855392362
100,5,"[400, 400, 400]",1.0,0.75,13,6,0.9357950152716256,0.937846025028193,0.9374593459345932,model_cling_prune_c,,0.6894039514295819,0.6371518924379372
100,5,"[400, 400, 400]",1.0,0.75,11,6,0.9358822041572802,0.9413696174371626,0.8032499249924993,model_cling_prune_c,,0.5665766709857323,0.5979613211446894
100,5,"[400, 400, 400]",1.0,0.75,14,6,0.9454257082260108,0.9485443544103842,0.9497869786978697,model_cling_prune_c,,0.7060551889320281,0.6656594870050138
100,5,"[400, 400, 400]",1.0,0.75,15,6,0.9153715198898285,0.916742180194069,0.9419381938193819,model_cling_prune_c,,0.6938343866943784,0.6615525987363139
100,5,"[400, 400, 400]",1.0,0.75,17,5,0.9593773301768694,0.9656575251715067,0.8497569756975697,model_cling_prune_c,,0.5724828170562053,0.6296221556900858
100,5,"[400, 400, 400]",1.0,0.75,19,5,0.9371681753557564,0.9495523972283755,0.9989750975097508,model_cling_prune_c,,0.9271840027370374,0.7269616630610098
100,5,"[400, 400, 400]",1.0,0.75,16,6,0.9237510708569173,0.931999083566567,0.9347830783078308,model_cling_prune_c,,0.7179548209395415,0.6505467489405046
100,5,"[400, 400, 400]",1.0,0.75,18,7,0.9412275375055845,0.9481555896761584,0.8738433843384337,model_cling_prune_c,,0.6684184013750628,0.621767465967757
100,1,"[400, 400, 400]",1.0,0.75,1,1,0.6642956027877674,0.7214260815041986,0.9993879387938793,model_cling_prune_c,,0.9372282094913972,0.748301373542925
100,1,"[400, 400, 400]",1.0,0.75,0,2,0.7327591716295725,0.7444738531128957,0.9959915991599159,model_cling_prune_c,,0.5833410534333859,0.6362771000766777
100,1,"[400, 400, 400]",1.0,0.75,3,1,0.7007222536182058,0.7075549001508336,0.9993879387938793,model_cling_prune_c,,0.9674796747967479,0.7318061233980829
100,1,"[400, 400, 400]",1.0,0.75,2,2,0.6775694545233114,0.6860040863304009,0.9988958895889587,model_cling_prune_c,,0.6077799269288631,0.6726054321363942
100,1,"[400, 400, 400]",1.0,0.75,4,1,0.7173392132733731,0.7457552609296185,0.9993519351935193,model_cling_prune_c,,0.9519938056523422,0.7150185325593222
100,1,"[400, 400, 400]",1.0,0.75,5,1,0.6500837252053526,0.6545986007245383,0.9995439543954395,model_cling_prune_c,,0.9512195121951219,0.718391330106496
100,1,"[400, 400, 400]",1.0,0.75,6,1,0.6801911505979626,0.7537495181317614,0.9996759675967596,model_cling_prune_c,,0.983739837398374,0.7317631936353556
100,1,"[400, 400, 400]",1.0,0.75,7,1,0.5907902891537584,0.61403479986863,0.9994239423942393,model_cling_prune_c,,0.9202477739063104,0.7177112822755376
100,1,"[400, 400, 400]",1.0,0.75,9,1,0.7219090770804262,0.847395033890523,0.9996759675967596,model_cling_prune_c,,0.9512195121951219,0.7039077417811846
100,1,"[400, 400, 400]",1.0,0.75,8,2,0.7959243838655894,0.8030588009577604,0.9989798979897988,model_cling_prune_c,,0.49079897507570464,0.562961104399114
100,1,"[400, 400, 400]",1.0,0.75,10,1,0.6916356251214525,0.7360575884061407,0.9997599759975996,model_cling_prune_c,,0.9357336430507162,0.7434351295032157
100,1,"[400, 400, 400]",1.0,0.75,11,1,0.7474174549482825,0.8035824151853155,0.9995319531953195,model_cling_prune_c,,0.9519938056523422,0.7401021252294439
100,1,"[400, 400, 400]",1.0,0.75,12,1,0.7053334917079416,0.7262159492592324,0.9995079507950793,model_cling_prune_c,,0.9519938056523422,0.7403245065677441
100,1,"[400, 400, 400]",1.0,0.75,13,1,0.713445550337387,0.7258487604925881,0.9995799579957995,model_cling_prune_c,,0.9512195121951219,0.6982266084279748
100,1,"[400, 400, 400]",1.0,0.75,14,2,0.7459736087556679,0.8080494261908422,0.9996519651965194,model_cling_prune_c,,0.8072233724407637,0.6688390851615905
100,1,"[400, 400, 400]",1.0,0.75,15,1,0.7531699089574025,0.7583443293658997,0.9995199519951995,model_cling_prune_c,,0.9372282094913972,0.7248849258459807
100,1,"[400, 400, 400]",1.0,0.75,16,1,0.7973612690261439,0.8117377685753865,0.9996159615961595,model_cling_prune_c,,0.9047619047619048,0.7314916223663767
100,1,"[400, 400, 400]",1.0,0.75,17,1,0.7915154856409208,0.8178528347245799,0.9997359735973597,model_cling_prune_c,,0.9519938056523422,0.743640873882144
100,1,"[400, 400, 400]",1.0,0.75,18,1,0.7256650271811821,0.7527825133700596,0.9995199519951995,model_cling_prune_c,,0.9512195121951219,0.7189050880389344
100,1,"[400, 400, 400]",1.0,0.75,19,1,0.6090258719826586,0.6171750751356178,0.9995199519951995,model_cling_prune_c,,0.9209680468897711,0.7201099108646786
100,7,"[400, 400, 400]",1.0,0.75,0,8,0.9630098633275548,0.9744566301484905,0.9532416098752731,model_cling_prune_c,,0.760200204992351,0.6762666028913517
100,7,"[400, 400, 400]",1.0,0.75,1,7,0.9597130858995545,0.9766124360795175,0.9995559555955594,model_cling_prune_c,,0.9382700329139032,0.7175387671621036
100,7,"[400, 400, 400]",1.0,0.75,2,8,0.9426812984366038,0.9427894122883134,0.9661463289186061,model_cling_prune_c,,0.81907639223797,0.689565087961016
100,7,"[400, 400, 400]",1.0,0.75,3,8,0.9531697418834706,0.9559499838873758,0.7647181861043247,model_cling_prune_c,,0.38893931052659303,0.5835625953259219
100,7,"[400, 400, 400]",1.0,0.75,4,8,0.9401860787216728,0.9434501327699598,0.7598028374265998,model_cling_prune_c,,0.4644137647499585,0.565656701893074
100,7,"[400, 400, 400]",1.0,0.75,6,7,0.9551227175870681,0.9560924336391204,0.8507307873644505,model_cling_prune_c,,0.5846056197217818,0.6174231619018655
100,7,"[400, 400, 400]",1.0,0.75,5,7,0.945576916619733,0.9463629899500989,0.9309450945094507,model_cling_prune_c,,0.770315374648469,0.6826579573066685
100,7,"[400, 400, 400]",1.0,0.75,7,7,0.9372093424907065,0.9364647157770285,0.9663949252068063,model_cling_prune_c,,0.7854129312789724,0.688986452955172
