N,K,D,noise_std,sparsity,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,5,"[400, 400, 400]",1.0,0.75,1,5,0.9575409964870332,0.9613356906415809,0.7191767176717672,model_mofa_prune_0.01,0.01,0.387180844286322,0.5689562340690805
100,5,"[400, 400, 400]",1.0,0.75,0,5,0.9617332618222569,0.9699417507988092,0.9843936393639364,model_mofa_prune_0.01,0.01,0.876944832860885,0.7047689183667705
100,5,"[400, 400, 400]",1.0,0.75,2,5,0.9301048457586664,0.9355332411386948,0.774934293429343,model_mofa_prune_0.01,0.01,0.4671429035224934,0.5961958501833831
100,5,"[400, 400, 400]",1.0,0.75,4,5,0.952494563404421,0.9529088917458447,0.9574605460546053,model_mofa_prune_0.01,0.01,0.7600974196463295,0.6860388398837629
100,5,"[400, 400, 400]",1.0,0.75,6,5,0.9492919760507661,0.9511760931094925,0.8326960696069607,model_mofa_prune_0.01,0.01,0.5516176464299022,0.6209494274933858
100,5,"[400, 400, 400]",1.0,0.75,3,5,0.949444912420502,0.9540315622014786,0.9984590459045902,model_mofa_prune_0.01,0.01,0.9363422737217405,0.723470933682438
100,5,"[400, 400, 400]",1.0,0.75,7,5,0.9500814333402113,0.9591618490963008,0.8256177617761775,model_mofa_prune_0.01,0.01,0.4973109955705482,0.5923951145284881
100,5,"[400, 400, 400]",1.0,0.75,8,5,0.9383699527705418,0.940303136282154,0.9115487548754875,model_mofa_prune_0.01,0.01,0.701906031243443,0.6550906581629374
100,5,"[400, 400, 400]",1.0,0.75,10,5,0.9108835647557646,0.9109153597742988,0.768981698169817,model_mofa_prune_0.01,0.01,0.493508330198748,0.5899370360598539
100,5,"[400, 400, 400]",1.0,0.75,5,5,0.9400788261986821,0.9402880378040688,0.9801452145214521,model_mofa_prune_0.01,0.01,0.8367392658230843,0.7049046773508313
100,5,"[400, 400, 400]",1.0,0.75,11,5,0.9322070933209446,0.9357070295996048,0.7805628562856286,model_mofa_prune_0.01,0.01,0.4047593401631191,0.5606074657659218
100,5,"[400, 400, 400]",1.0,0.75,12,5,0.954460648497344,0.9968969858224636,0.7796699669966995,model_mofa_prune_0.01,0.01,0.48816151770669425,0.5846808542699383
100,5,"[400, 400, 400]",1.0,0.75,14,5,0.943357351982813,0.946920448573215,0.8821530153015301,model_mofa_prune_0.01,0.01,0.6391657240454054,0.64246218446366
100,5,"[400, 400, 400]",1.0,0.75,9,5,0.9433801667105796,0.9464788582029626,0.9793291329132913,model_mofa_prune_0.01,0.01,0.8599673915264396,0.71850072457446
100,5,"[400, 400, 400]",1.0,0.75,13,5,0.9657673310542085,0.9684770127128105,0.897053705370537,model_mofa_prune_0.01,0.01,0.7029881445240774,0.680943129018181
100,5,"[400, 400, 400]",1.0,0.75,15,5,0.9518897745054429,0.9539819121701573,0.9947074707470748,model_mofa_prune_0.01,0.01,0.9219498007926822,0.7180994329633595
100,5,"[400, 400, 400]",1.0,0.75,16,5,0.944351033027659,0.9526772642908097,0.7259261926192618,model_mofa_prune_0.01,0.01,0.34918318712826235,0.5565099107215948
100,5,"[400, 400, 400]",1.0,0.75,17,5,0.941429649952516,0.9691007981272901,0.8365004500450043,model_mofa_prune_0.01,0.01,0.6242605772427704,0.6375105844092346
100,5,"[400, 400, 400]",1.0,0.75,19,5,0.948573098099554,0.9495938885595091,0.8019945994599459,model_mofa_prune_0.01,0.01,0.5298981477121656,0.6185797738561835
100,1,"[400, 400, 400]",1.0,0.75,0,1,0.685181790341284,0.7057042528942237,0.9995199519951995,model_mofa_prune_0.01,0.01,0.9357336430507162,0.7459632968131175
100,1,"[400, 400, 400]",1.0,0.75,1,1,0.7041083880888567,0.7569284695615519,0.9994599459945993,model_mofa_prune_0.01,0.01,0.9357336430507162,0.7503811231463956
100,5,"[400, 400, 400]",1.0,0.75,18,5,0.942178654554444,0.9428451863290973,0.9079459945994598,model_mofa_prune_0.01,0.01,0.6645471353637933,0.6301757348738971
100,1,"[400, 400, 400]",1.0,0.75,2,1,0.784457108684662,0.7960986264339841,0.9996279627962795,model_mofa_prune_0.01,0.01,0.9519938056523422,0.7327324284836285
100,1,"[400, 400, 400]",1.0,0.75,3,1,0.6684148548143357,0.7489126726321389,0.9993279327932791,model_mofa_prune_0.01,0.01,0.9357336430507162,0.6932548414293418
100,1,"[400, 400, 400]",1.0,0.75,4,1,0.7724023769824143,0.7788950204874332,0.9996759675967596,model_mofa_prune_0.01,0.01,0.9674796747967479,0.7096492602197548
100,1,"[400, 400, 400]",1.0,0.75,5,1,0.7616614071800724,0.9963049532841033,0.9999399939993997,model_mofa_prune_0.01,0.01,0.9519938056523422,0.7167851978326502
100,1,"[400, 400, 400]",1.0,0.75,6,1,0.7698470063486959,0.8430586969918236,0.9997599759975996,model_mofa_prune_0.01,0.01,0.8934056007226738,0.7364110196304342
100,1,"[400, 400, 400]",1.0,0.75,7,1,0.7446926948526382,0.8587862735790941,0.9996399639963995,model_mofa_prune_0.01,0.01,0.9519938056523422,0.7208879519732392
100,1,"[400, 400, 400]",1.0,0.75,8,1,0.7820554856712699,0.8097890793526994,0.9997119711971196,model_mofa_prune_0.01,0.01,0.9512195121951219,0.7238296320206645
100,1,"[400, 400, 400]",1.0,0.75,9,1,0.6100572271919531,0.6237471018291884,0.9995199519951995,model_mofa_prune_0.01,0.01,0.9674796747967479,0.7285560623202927
100,1,"[400, 400, 400]",1.0,0.75,10,1,0.5573640581459346,0.55771249996475,0.9992919291929192,model_mofa_prune_0.01,0.01,0.9047619047619048,0.7131264123096769
100,1,"[400, 400, 400]",1.0,0.75,11,1,0.5936325624554376,0.6041567023868895,0.9994479447944794,model_mofa_prune_0.01,0.01,0.9357336430507162,0.7291629032123166
100,1,"[400, 400, 400]",1.0,0.75,12,1,0.6225879637606758,0.8746663286323124,0.9996519651965194,model_mofa_prune_0.01,0.01,0.9519938056523422,0.728690626073197
100,1,"[400, 400, 400]",1.0,0.75,13,1,0.7920391472958371,0.8289446288434014,0.9996639663966396,model_mofa_prune_0.01,0.01,0.9357336430507162,0.7291963959557256
100,1,"[400, 400, 400]",1.0,0.75,14,1,0.6815725727572023,0.7620006290942745,0.9995679567956794,model_mofa_prune_0.01,0.01,0.9357336430507162,0.7424266930681581
100,1,"[400, 400, 400]",1.0,0.75,15,1,0.830981277017074,0.9401024062767995,0.9999159915991598,model_mofa_prune_0.01,0.01,0.9512195121951219,0.7407168390524418
100,1,"[400, 400, 400]",1.0,0.75,16,1,0.6602455519639727,0.6757945364222243,0.9995799579957995,model_mofa_prune_0.01,0.01,0.9047619047619048,0.705143820039337
100,1,"[400, 400, 400]",1.0,0.75,17,1,0.7598353187943951,0.8078088962570743,0.9996879687968797,model_mofa_prune_0.01,0.01,0.9674796747967479,0.7216205085906208
100,1,"[400, 400, 400]",1.0,0.75,18,1,0.6684429083248798,0.6938159801590262,0.9988238823882388,model_mofa_prune_0.01,0.01,0.9357336430507162,0.6772268299100582
100,1,"[400, 400, 400]",1.0,0.75,19,1,0.7010897343975974,0.7241110272339474,0.9992799279927992,model_mofa_prune_0.01,0.01,0.9674796747967479,0.7393321568688659
100,7,"[400, 400, 400]",1.0,0.75,1,7,0.970575369729434,0.9835292942325754,0.8034957781492434,model_mofa_prune_0.01,0.01,0.49570898394202767,0.5635799373003378
100,7,"[400, 400, 400]",1.0,0.75,2,7,0.970599316612956,0.9860078896838869,0.9519866272341518,model_mofa_prune_0.01,0.01,0.8367277171864077,0.6915693600262669
100,7,"[400, 400, 400]",1.0,0.75,0,7,0.9735992839650699,0.9795137668155824,0.9877553469632677,model_mofa_prune_0.01,0.01,0.8525538069059319,0.7036059046327194
