,N,K,D,noise_std,sparsity,seed
0,100,10,"[1000, 1000, 1000]",1.0,0.8,0
1,100,10,"[1000, 1000, 1000]",1.0,0.8,1
2,100,10,"[1000, 1000, 1000]",1.0,0.8,2
3,100,10,"[1000, 1000, 1000]",1.0,0.8,3
4,100,10,"[1000, 1000, 1000]",1.0,0.8,4
5,100,10,"[1000, 1000, 1000]",1.0,0.8,5
6,100,10,"[1000, 1000, 1000]",1.0,0.8,6
7,100,10,"[1000, 1000, 1000]",1.0,0.8,7
8,100,10,"[1000, 1000, 1000]",1.0,0.8,8
9,100,10,"[1000, 1000, 1000]",1.0,0.8,9
10,100,10,"[1000, 1000, 1000]",1.0,0.8,10
11,100,10,"[1000, 1000, 1000]",1.0,0.8,11
12,100,10,"[1000, 1000, 1000]",1.0,0.8,12
13,100,10,"[1000, 1000, 1000]",1.0,0.8,13
14,100,10,"[1000, 1000, 1000]",1.0,0.8,14
15,100,10,"[1000, 1000, 1000]",1.0,0.8,15
16,100,10,"[1000, 1000, 1000]",1.0,0.8,16
17,100,10,"[1000, 1000, 1000]",1.0,0.8,17
18,100,10,"[1000, 1000, 1000]",1.0,0.8,18
19,100,10,"[1000, 1000, 1000]",1.0,0.8,19
20,100,10,"[1000, 1000, 1000]",0.25,0.8,0
21,100,10,"[1000, 1000, 1000]",0.25,0.8,1
22,100,10,"[1000, 1000, 1000]",0.25,0.8,2
23,100,10,"[1000, 1000, 1000]",0.25,0.8,3
24,100,10,"[1000, 1000, 1000]",0.25,0.8,4
25,100,10,"[1000, 1000, 1000]",0.25,0.8,5
26,100,10,"[1000, 1000, 1000]",0.25,0.8,6
27,100,10,"[1000, 1000, 1000]",0.25,0.8,7
28,100,10,"[1000, 1000, 1000]",0.25,0.8,8
29,100,10,"[1000, 1000, 1000]",0.25,0.8,9
30,100,10,"[1000, 1000, 1000]",0.25,0.8,10
31,100,10,"[1000, 1000, 1000]",0.25,0.8,11
32,100,10,"[1000, 1000, 1000]",0.25,0.8,12
33,100,10,"[1000, 1000, 1000]",0.25,0.8,13
34,100,10,"[1000, 1000, 1000]",0.25,0.8,14
35,100,10,"[1000, 1000, 1000]",0.25,0.8,15
