N,K,D,noise_std,sparsity,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,10,"[1000, 1000, 1000]",1.0,0.8,2,10,0.9596609263711606,0.9618518866510507,0.9995883588358835,model_cling_AD_fast,,0.9308210117768597,0.6503011420924083
100,10,"[1000, 1000, 1000]",1.0,0.8,0,10,0.9572058653784025,0.9573842410879428,0.9933681368136812,model_cling_AD_fast,,0.893958815067241,0.6390382193488405
100,10,"[1000, 1000, 1000]",1.0,0.8,4,10,0.9416645942590209,0.9435272290275293,0.9994959495949596,model_cling_AD_fast,,0.9283288539071641,0.6584248439206382
100,10,"[1000, 1000, 1000]",1.0,0.8,3,10,0.9510022237027002,0.9529744965578717,0.9799579957995798,model_cling_AD_fast,,0.8599167563522722,0.6389541871782628
100,10,"[1000, 1000, 1000]",1.0,0.8,1,10,0.9448054668507564,0.9479083151945936,0.9197239723972397,model_cling_AD_fast,,0.7546606015678763,0.6113012532260945
100,10,"[1000, 1000, 1000]",1.0,0.8,6,10,0.9384299812796081,0.9390228871504427,0.9396183618361835,model_cling_AD_fast,,0.7833593178200143,0.6183991087978832
100,10,"[1000, 1000, 1000]",1.0,0.8,5,10,0.9510373283996332,0.9812391771059841,0.9905274527452743,model_cling_AD_fast,,0.8951388773401809,0.6455295154414503
100,10,"[1000, 1000, 1000]",1.0,0.8,8,10,0.9364599240784468,0.9379414115178591,0.9739513951395139,model_cling_AD_fast,,0.86202246969426,0.6379803392993207
100,10,"[1000, 1000, 1000]",1.0,0.8,9,10,0.943269043219981,0.9470768804039925,0.9994887488748875,model_cling_AD_fast,,0.928414612599295,0.644966558590711
100,10,"[1000, 1000, 1000]",1.0,0.8,10,10,0.9496813633441511,0.9515746911507733,0.9893573357335732,model_cling_AD_fast,,0.8787058343554837,0.6424831743599474
100,10,"[1000, 1000, 1000]",1.0,0.8,7,10,0.9561187983818344,0.9586181871479282,0.9994527452745274,model_cling_AD_fast,,0.9178287269662316,0.6512304668695406
