N,K,D,noise_std,sparsity,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,10,"[1000, 1000, 1000]",1.0,0.8,0,10,0.6695978445689413,0.6682096825298476,0.9993075307530752,model_cling_ablation1a,,0.9161708317836051,0.6413346366021492
100,10,"[1000, 1000, 1000]",1.0,0.8,1,10,0.8811420800406718,0.8604023242178304,0.9793039303930392,model_cling_ablation1a,,0.8637627735502854,0.6418014150582432
100,10,"[1000, 1000, 1000]",1.0,0.8,2,10,0.940431922435932,0.9409260127762858,0.9995487548754876,model_cling_ablation1a,,0.9228835500005076,0.6515234479549261
100,10,"[1000, 1000, 1000]",1.0,0.8,3,10,0.7907515600427754,0.8215823931219661,0.9994155415541555,model_cling_ablation1a,,0.9257679069861866,0.6497669748685516
100,10,"[1000, 1000, 1000]",1.0,0.8,4,10,0.9004395885632288,0.8874936011741418,0.9993951395139513,model_cling_ablation1a,,0.9246519433845698,0.6516201356917539
100,10,"[1000, 1000, 1000]",1.0,0.8,5,10,0.8640518967573884,0.8728622084833477,0.9986306630663065,model_cling_ablation1a,,0.9208944270197023,0.6460395095170797
100,10,"[1000, 1000, 1000]",1.0,0.8,7,10,0.9383740646423361,0.9547199785083231,0.9993603360336032,model_cling_ablation1a,,0.9212178023046038,0.6524103795247921
100,10,"[1000, 1000, 1000]",1.0,0.8,6,10,0.8983620990663616,0.8971387213917282,0.9994311431143114,model_cling_ablation1a,,0.9190381967656833,0.6488218175288216
100,10,"[1000, 1000, 1000]",1.0,0.8,8,10,0.7857775993437305,0.6871334206583869,0.9996159615961595,model_cling_ablation1a,,0.9165850109455803,0.6518944520149301
100,10,"[1000, 1000, 1000]",1.0,0.8,9,10,0.9360735422365875,0.9347087194913917,0.9944170417041702,model_cling_ablation1a,,0.9086350334558513,0.6447525590957037
100,10,"[1000, 1000, 1000]",1.0,0.8,11,10,0.8502160535699548,0.8527300669677138,0.9994059405940593,model_cling_ablation1a,,0.9198712286504961,0.6508301684060458
100,10,"[1000, 1000, 1000]",1.0,0.8,10,10,0.8676979636819028,0.8609105918653226,0.9994551455145512,model_cling_ablation1a,,0.928904772180313,0.6463729014198454
100,10,"[1000, 1000, 1000]",1.0,0.8,12,10,0.7925075654662542,0.7573961974757965,0.9986486648664865,model_cling_ablation1a,,0.914972816852768,0.6494530322344435
100,10,"[1000, 1000, 1000]",1.0,0.8,13,10,0.9714901079972019,0.9899613912163937,0.9995283528352834,model_cling_ablation1a,,0.9259343486176556,0.6523569054173104
100,10,"[1000, 1000, 1000]",1.0,0.8,14,10,0.8206189347580218,0.8246490669333977,0.9993711371137113,model_cling_ablation1a,,0.9144850404274323,0.6560385573919353
100,10,"[1000, 1000, 1000]",1.0,0.8,15,10,0.8760792376732444,0.869830986747377,0.9994275427542754,model_cling_ablation1a,,0.913011961648452,0.6480400413788004
100,10,"[1000, 1000, 1000]",1.0,0.8,16,10,0.8864120126527754,0.918336906103347,0.9749666966696668,model_cling_ablation1a,,0.8644499096564427,0.6368905234894273
100,10,"[1000, 1000, 1000]",1.0,0.8,17,10,0.9512983669938238,0.96240921513689,0.9994731473147314,model_cling_ablation1a,,0.926534337467551,0.6484783618433393
100,10,"[1000, 1000, 1000]",1.0,0.8,18,10,0.9377293513759156,0.9596623519441687,0.9995643564356435,model_cling_ablation1a,,0.9370588573296578,0.6498450011570553
100,10,"[1000, 1000, 1000]",1.0,0.8,19,10,0.8233680102646647,0.7961658794387503,0.9383582358235824,model_cling_ablation1a,,0.7706977305051429,0.620550723065642
100,10,"[1000, 1000, 1000]",0.25,0.8,0,10,0.7975910328184713,0.7873377264853552,0.7965688568856885,model_cling_ablation1a,,0.5538138019793964,0.560604877719705
100,10,"[1000, 1000, 1000]",0.25,0.8,1,10,0.6685408436853469,0.6599154982360684,0.7527092709270926,model_cling_ablation1a,,0.4876687768605576,0.5453839555865214
100,10,"[1000, 1000, 1000]",0.25,0.8,2,10,0.7255047756333308,0.7023607069525439,0.7535661566156615,model_cling_ablation1a,,0.5220192920144696,0.5363988354989748
100,10,"[1000, 1000, 1000]",0.25,0.8,3,10,0.9101410617685043,0.8817980325368693,0.9067902790279027,model_cling_ablation1a,,0.7011339629393446,0.6115683862639555
100,10,"[1000, 1000, 1000]",0.25,0.8,4,10,0.858180700155949,0.8140609332048317,0.7635751575157514,model_cling_ablation1a,,0.49263646788918997,0.5491584780958909
100,10,"[1000, 1000, 1000]",0.25,0.8,5,10,0.7297590673039865,0.7240589172586154,0.7153327332733272,model_cling_ablation1a,,0.4596551796924949,0.5155395746707727
100,10,"[1000, 1000, 1000]",0.25,0.8,6,10,0.9039056750476284,0.8978588591680453,0.7305358535853586,model_cling_ablation1a,,0.43888401540719996,0.5285805488076966
100,10,"[1000, 1000, 1000]",0.25,0.8,7,10,0.7717066970176925,0.6544397406795399,0.8941842184218419,model_cling_ablation1a,,0.7063024647935234,0.6091227963169612
100,10,"[1000, 1000, 1000]",0.25,0.8,8,10,0.6270493832133067,0.5555254689532099,0.7844104410441043,model_cling_ablation1a,,0.5143355223822581,0.5400221738713354
100,10,"[1000, 1000, 1000]",0.25,0.8,9,10,0.822191529763717,0.8012519776869652,0.8068034803480348,model_cling_ablation1a,,0.5387514251377451,0.5519826592404822
100,10,"[1000, 1000, 1000]",0.25,0.8,10,10,0.6634643967047537,0.6807912928235453,0.8166048604860485,model_cling_ablation1a,,0.5397984467613349,0.5604655607535542
100,10,"[1000, 1000, 1000]",0.25,0.8,11,10,0.8634469689379024,0.8543380940458729,0.7747386738673867,model_cling_ablation1a,,0.5596860525711732,0.5403809140211429
100,10,"[1000, 1000, 1000]",0.25,0.8,12,10,0.8741852885776993,0.8464278828597621,0.7997143714371436,model_cling_ablation1a,,0.5480244175795932,0.5592410518547655
100,10,"[1000, 1000, 1000]",0.25,0.8,13,10,0.9373603517874685,0.9823343813053097,0.7226114611461145,model_cling_ablation1a,,0.4641748112488027,0.5341661103141463
100,10,"[1000, 1000, 1000]",0.25,0.8,14,10,0.8336811200249062,0.8367821401276612,0.8501074107410741,model_cling_ablation1a,,0.608664946005008,0.5839761644018846
100,10,"[1000, 1000, 1000]",0.25,0.8,15,10,0.8138111455308037,0.786129291675868,0.8506834683468346,model_cling_ablation1a,,0.6280729709372875,0.5856708475045885
100,10,"[1000, 1000, 1000]",0.25,0.8,16,10,0.875015337557643,0.9122358342099178,0.7420858085808579,model_cling_ablation1a,,0.4717395194006365,0.525620112172544
100,10,"[1000, 1000, 1000]",0.25,0.8,17,10,0.8206223919424996,0.8410944785506818,0.8111431143114309,model_cling_ablation1a,,0.5754571596194088,0.5686794404270507
100,10,"[1000, 1000, 1000]",0.25,0.8,18,11,0.9704952842977259,0.9597010052494365,0.8284752475247524,model_cling_ablation1a,,0.6020659724758955,0.5682114878382412
100,10,"[1000, 1000, 1000]",0.5,0.8,0,10,0.9079992354471068,0.9153127945421444,0.9100702070207021,model_cling_ablation1a,,0.7677119223261205,0.6325620884201896
100,10,"[1000, 1000, 1000]",0.25,0.8,19,10,0.7688594721952876,0.7576434950993559,0.756014401440144,model_cling_ablation1a,,0.4591649066578648,0.5322942111503963
100,10,"[1000, 1000, 1000]",0.5,0.8,1,10,0.667516567387986,0.6592471971293042,0.9753315331533152,model_cling_ablation1a,,0.8820343882032354,0.6545994274139971
100,10,"[1000, 1000, 1000]",0.5,0.8,2,10,0.861023211110988,0.8399342987830024,0.8293981398139814,model_cling_ablation1a,,0.6240088270898755,0.5833561240162408
100,10,"[1000, 1000, 1000]",0.5,0.8,3,10,0.9091851998041794,0.8884467374108732,0.9501242124212419,model_cling_ablation1a,,0.8164242675273982,0.644004218035602
100,10,"[1000, 1000, 1000]",0.5,0.8,4,10,0.9298798368434675,0.9043877421320705,0.8460990099009902,model_cling_ablation1a,,0.6693125706049864,0.5950041624928335
100,10,"[1000, 1000, 1000]",0.5,0.8,5,10,0.7179803569048713,0.7128422158887774,0.9037791779177915,model_cling_ablation1a,,0.7364084369911427,0.6181354461224479
100,10,"[1000, 1000, 1000]",0.5,0.8,6,10,0.9142146964649395,0.9097377478197868,0.8963048304830481,model_cling_ablation1a,,0.6519204326180199,0.5952370641093235
100,10,"[1000, 1000, 1000]",0.5,0.8,7,10,0.871827147734033,0.8763918329307139,0.9729240924092407,model_cling_ablation1a,,0.8690150668017643,0.6594622391008128
100,10,"[1000, 1000, 1000]",0.5,0.8,8,10,0.6721868369950251,0.6206394112432227,0.9081248124812481,model_cling_ablation1a,,0.7546443816068074,0.6150880458107838
100,10,"[1000, 1000, 1000]",0.5,0.8,9,10,0.9048873067129556,0.9052428895850617,0.8690549054905489,model_cling_ablation1a,,0.6897268818153116,0.5933745925920234
100,10,"[1000, 1000, 1000]",0.5,0.8,10,10,0.6622890091997281,0.680785296025596,0.9843516351635163,model_cling_ablation1a,,0.9079493762086833,0.6572530164436474
100,10,"[1000, 1000, 1000]",0.5,0.8,11,10,0.9247731514194562,0.9260036535900794,0.8710483048304829,model_cling_ablation1a,,0.6893689950580993,0.5954382471226037
100,10,"[1000, 1000, 1000]",0.5,0.8,12,10,0.8349362384054686,0.8000371014234652,0.862307830783078,model_cling_ablation1a,,0.6677675439626408,0.6004381870823675
100,10,"[1000, 1000, 1000]",0.5,0.8,13,10,0.9490649664542183,0.9882425532618383,0.8571701170117011,model_cling_ablation1a,,0.6685567263587028,0.5971375943249193
100,10,"[1000, 1000, 1000]",0.5,0.8,14,10,0.836387189090515,0.8400669331300998,0.9652841284128412,model_cling_ablation1a,,0.8376902098081461,0.6522538668150281
100,10,"[1000, 1000, 1000]",0.5,0.8,15,10,0.8649138341709461,0.8448468144888756,0.9714911491149113,model_cling_ablation1a,,0.8510092899802141,0.6500758041052342
100,10,"[1000, 1000, 1000]",0.5,0.8,16,10,0.8784375366531014,0.9133853009645528,0.8177089708970897,model_cling_ablation1a,,0.6094841906011309,0.5672736963136559
100,10,"[1000, 1000, 1000]",0.5,0.8,17,10,0.9384291063443134,0.9600322871159883,0.9284032403240323,model_cling_ablation1a,,0.7881293519192742,0.6253298142242681
100,10,"[1000, 1000, 1000]",0.5,0.8,18,10,0.945972684317057,0.9530278558211777,0.8924452445244524,model_cling_ablation1a,,0.7627762255868568,0.6137931735787421
100,10,"[1000, 1000, 1000]",0.5,0.8,19,10,0.8166671410046923,0.8061893164524551,0.7739357935793578,model_cling_ablation1a,,0.5381604378885758,0.5610649409671336
100,10,"[1000, 1000, 1000]",0.75,0.8,0,10,0.9145720258452124,0.9267343183426087,0.9995763576357634,model_cling_ablation1a,,0.936363297261017,0.6636885989880797
100,10,"[1000, 1000, 1000]",0.75,0.8,1,10,0.7186572441269661,0.7179436394462345,0.9995847584758476,model_cling_ablation1a,,0.938890721627666,0.664500349462899
100,10,"[1000, 1000, 1000]",0.75,0.8,2,10,0.8450188921487175,0.8253106414595653,0.8953423342334232,model_cling_ablation1a,,0.7024270463770307,0.6044542944808884
100,10,"[1000, 1000, 1000]",0.75,0.8,3,10,0.8848023944228274,0.8626151672411834,0.9996063606360636,model_cling_ablation1a,,0.942735110473617,0.6640475275375838
100,10,"[1000, 1000, 1000]",0.75,0.8,4,10,0.9103859352454532,0.8870424122091748,0.9154587458745873,model_cling_ablation1a,,0.7476998853384962,0.6174123776938365
100,10,"[1000, 1000, 1000]",0.75,0.8,5,10,0.7455776996642968,0.736576416424282,0.9392571257125711,model_cling_ablation1a,,0.7786367373368236,0.6161808233871982
100,10,"[1000, 1000, 1000]",0.75,0.8,6,10,0.8970393900629262,0.8929015256595674,0.9674131413141314,model_cling_ablation1a,,0.8488843453347179,0.6403198035389448
100,10,"[1000, 1000, 1000]",0.75,0.8,7,10,0.8557062306121676,0.866288510513805,0.9994959495949594,model_cling_ablation1a,,0.9372550884535235,0.6641071269394995
100,10,"[1000, 1000, 1000]",0.75,0.8,8,10,0.6488536561651895,0.6004405416086636,0.9472595259525951,model_cling_ablation1a,,0.8314306030185012,0.6395245992844727
100,10,"[1000, 1000, 1000]",0.75,0.8,9,10,0.9283960439983397,0.9329908673195574,0.9045304530453044,model_cling_ablation1a,,0.7582227708448995,0.6142604779564796
100,10,"[1000, 1000, 1000]",0.75,0.8,10,10,0.8300369903739826,0.8333805717212033,0.9995127512751274,model_cling_ablation1a,,0.9432130387086819,0.6578276449758058
100,10,"[1000, 1000, 1000]",0.75,0.8,11,10,0.9642048632338547,0.9645976833984043,0.9391827182718272,model_cling_ablation1a,,0.7970989610078091,0.6308694618218733
100,10,"[1000, 1000, 1000]",0.75,0.8,12,10,0.8271960137507861,0.7972111676096367,0.9244740474047404,model_cling_ablation1a,,0.7540065169226693,0.6205759600816093
100,10,"[1000, 1000, 1000]",0.75,0.8,13,10,0.9480887789602312,0.988523434081943,0.877183318331833,model_cling_ablation1a,,0.705920610625873,0.600450412293598
100,10,"[1000, 1000, 1000]",0.75,0.8,14,10,0.8328376175687217,0.835625331186503,0.9994239423942393,model_cling_ablation1a,,0.9308895563027911,0.6675976750518182
100,10,"[1000, 1000, 1000]",0.75,0.8,15,10,0.8834542310146434,0.8710462463385428,0.9996075607560755,model_cling_ablation1a,,0.9370581731700565,0.6598849229701101
