N,K,D,noise_std,sparsity,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,10,"[1000, 1000, 1000]",1.0,0.8,2,2,0.14673559383959933,0.14377950228771608,0.261047704770477,model_cling_ablation2,,0.13528818973549447,0.23424874155147815
100,10,"[1000, 1000, 1000]",1.0,0.8,1,2,0.09585977982619076,0.09388156239654477,0.31747974797479744,model_cling_ablation2,,0.2016175827834118,0.28024365593395706
100,10,"[1000, 1000, 1000]",1.0,0.8,3,2,0.12901839797954276,0.12327680895733906,0.3173261326132613,model_cling_ablation2,,0.19546561289379255,0.2946185704709009
100,10,"[1000, 1000, 1000]",1.0,0.8,0,3,0.20810426737528698,0.18328798604465146,0.395017101710171,model_cling_ablation2,,0.2076475581958464,0.3237936704079671
100,10,"[1000, 1000, 1000]",1.0,0.8,4,2,0.15528617125044983,0.15262917410670218,0.346005400540054,model_cling_ablation2,,0.20175580270667096,0.3003714911118504
100,10,"[1000, 1000, 1000]",1.0,0.8,6,2,0.14610015960534362,0.14257052891978417,0.26967056705670567,model_cling_ablation2,,0.13912643775301312,0.23342021210043917
100,10,"[1000, 1000, 1000]",1.0,0.8,5,3,0.22723406583399217,0.22728857847340345,0.44462406240624064,model_cling_ablation2,,0.24401744689195498,0.3359050174984072
100,10,"[1000, 1000, 1000]",1.0,0.8,7,3,0.23387142574387398,0.1589168372986416,0.3984746474647464,model_cling_ablation2,,0.2908414181857884,0.3244981278102616
100,10,"[1000, 1000, 1000]",1.0,0.8,8,2,0.076900146665692,0.06357845104738424,0.27247164716471645,model_cling_ablation2,,0.16227753335219444,0.25687582385435165
100,10,"[1000, 1000, 1000]",1.0,0.8,9,2,0.13736966302010245,0.1321059796614672,0.2969204920492049,model_cling_ablation2,,0.1279624039721176,0.2732643985621461
100,10,"[1000, 1000, 1000]",1.0,0.8,10,2,0.10780597775035831,0.10500300909736915,0.33073147314731466,model_cling_ablation2,,0.19218935016407246,0.292451249660056
100,10,"[1000, 1000, 1000]",1.0,0.8,11,2,0.1461744353847634,0.14710711324155923,0.3064890489048905,model_cling_ablation2,,0.20144029804360652,0.28413643493497287
100,10,"[1000, 1000, 1000]",1.0,0.8,12,3,0.23151930267949505,0.22525837170074048,0.37840984098409836,model_cling_ablation2,,0.2535568121750781,0.3195014013198998
100,10,"[1000, 1000, 1000]",1.0,0.8,14,2,0.12651930160964195,0.1273672297333025,0.2407188718871887,model_cling_ablation2,,0.1280006402812067,0.23120940995269468
100,10,"[1000, 1000, 1000]",1.0,0.8,13,3,0.11400448554867715,0.03771420058209596,0.4143858385838584,model_cling_ablation2,,0.2728765480206786,0.33026260000758323
100,10,"[1000, 1000, 1000]",1.0,0.8,15,3,0.17910550468684183,0.17778948234574987,0.38062286228622855,model_cling_ablation2,,0.23094128308650866,0.2949612422279602
100,10,"[1000, 1000, 1000]",1.0,0.8,17,2,0.08630845417118131,0.0626293424835962,0.2618961896189619,model_cling_ablation2,,0.12430428478132122,0.24856119691189685
100,10,"[1000, 1000, 1000]",1.0,0.8,18,2,0.12725417509011017,0.08978324954435835,0.29394059405940587,model_cling_ablation2,,0.1879274625387855,0.2593925827014803
100,10,"[1000, 1000, 1000]",1.0,0.8,16,3,0.08775676194935562,0.07660086083204232,0.39465226522652264,model_cling_ablation2,,0.2683679691169147,0.33126655898261265
100,10,"[1000, 1000, 1000]",1.0,0.8,19,3,0.12508170048603715,0.10722264332835663,0.3489108910891089,model_cling_ablation2,,0.1979475403056247,0.28750978578662717
100,10,"[1000, 1000, 1000]",0.25,0.8,1,3,0.171784465558213,0.1708048214447151,0.3153819381938193,model_cling_ablation2,,0.15044236344910636,0.29295591241436264
100,10,"[1000, 1000, 1000]",0.25,0.8,0,4,0.24275158439326872,0.22567059544417656,0.45731173117311724,model_cling_ablation2,,0.2667957399576971,0.3873433939262773
100,10,"[1000, 1000, 1000]",0.25,0.8,2,4,0.21918637455151255,0.2075709789483654,0.4244896489648964,model_cling_ablation2,,0.2606733899861773,0.35419488305775054
100,10,"[1000, 1000, 1000]",0.25,0.8,3,4,0.26299275245738213,0.22380098121253766,0.5024626462646264,model_cling_ablation2,,0.36031640236384904,0.40759296967272657
100,10,"[1000, 1000, 1000]",0.25,0.8,5,3,0.20330127020741043,0.20277677064386024,0.3408736873687368,model_cling_ablation2,,0.15064139061375503,0.30917593944518734
100,10,"[1000, 1000, 1000]",0.25,0.8,4,4,0.3175715657392455,0.2766071049220339,0.46174977497749764,model_cling_ablation2,,0.2754184654127359,0.36921466873958547
100,10,"[1000, 1000, 1000]",0.25,0.8,6,3,0.21438550333599335,0.21176295995722505,0.3465478547854785,model_cling_ablation2,,0.16947225537745694,0.29669553078583016
100,10,"[1000, 1000, 1000]",0.25,0.8,7,4,0.27525031962883206,0.1762056181938737,0.4684212421242123,model_cling_ablation2,,0.3106241450752683,0.37456465885522633
100,10,"[1000, 1000, 1000]",0.25,0.8,8,3,0.12679242359270348,0.11379130724274689,0.3687668766876687,model_cling_ablation2,,0.228533127622113,0.31333935425306125
100,10,"[1000, 1000, 1000]",0.25,0.8,9,3,0.19412519407310327,0.1866178505811099,0.4085064506450644,model_cling_ablation2,,0.23736037571281726,0.3343819672121482
100,10,"[1000, 1000, 1000]",0.25,0.8,10,4,0.2268273857042756,0.22030785741026349,0.42533453345334526,model_cling_ablation2,,0.24055028243743923,0.35034758752736767
100,10,"[1000, 1000, 1000]",0.25,0.8,11,4,0.28342023943965217,0.28349880130596805,0.41166876687668763,model_cling_ablation2,,0.2156734399119939,0.3362709409464465
100,10,"[1000, 1000, 1000]",0.25,0.8,12,4,0.27312827992983885,0.26845419614425325,0.43602280228022805,model_cling_ablation2,,0.26027830162251525,0.37007575100582024
100,10,"[1000, 1000, 1000]",0.25,0.8,13,4,0.14213304704741447,0.046180174517104655,0.4866414641464146,model_cling_ablation2,,0.3550630997288524,0.37811779455952543
100,10,"[1000, 1000, 1000]",0.25,0.8,14,3,0.22008197336636517,0.21643034594167465,0.38784998499849976,model_cling_ablation2,,0.28196741429689265,0.3571131937719997
100,10,"[1000, 1000, 1000]",0.25,0.8,15,4,0.2316578036954439,0.22053314138660152,0.4324164416441644,model_cling_ablation2,,0.259513389214078,0.3375730477406939
