N,K,D,noise_std,sparsity,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,10,"[1000, 1000, 1000]",1.0,0.8,3,10,0.9721398065875427,0.9738878615737916,0.7683864386438642,model_cling_c,,0.4963238206583508,0.5386855488937944
100,10,"[1000, 1000, 1000]",1.0,0.8,0,11,0.957163872812989,0.9653030712122941,0.9194707470747072,model_cling_c,,0.7260139011708145,0.6024791199952727
100,10,"[1000, 1000, 1000]",1.0,0.8,1,10,0.968749397832202,0.9703064044323284,0.8273939393939391,model_cling_c,,0.5503449843588276,0.5784439085551806
100,10,"[1000, 1000, 1000]",1.0,0.8,2,11,0.9439523949535967,0.9440119107776858,0.9631323132313231,model_cling_c,,0.7949311009833501,0.6319948942470437
100,10,"[1000, 1000, 1000]",1.0,0.8,4,11,0.9673979284670237,0.9740257783882912,0.7977089708970897,model_cling_c,,0.5364502827530708,0.5542730831559077
100,10,"[1000, 1000, 1000]",1.0,0.8,5,11,0.9651985650763852,0.9727570727979976,0.9213717371737171,model_cling_c,,0.7680275311358925,0.6288320498611779
100,10,"[1000, 1000, 1000]",1.0,0.8,6,10,0.9690159824426002,0.9707869390023449,0.8435139513951395,model_cling_c,,0.5798007017120381,0.5750195414827218
100,10,"[1000, 1000, 1000]",1.0,0.8,7,11,0.9481519772766136,0.9498922511710634,0.9000528052805279,model_cling_c,,0.630716470012274,0.5875487000868412
100,10,"[1000, 1000, 1000]",1.0,0.8,8,10,0.9770272596858267,0.9812500555636599,0.8202592259225922,model_cling_c,,0.5794658022253422,0.5755460999027788
100,10,"[1000, 1000, 1000]",1.0,0.8,9,10,0.9723519243565345,0.9757234807688081,0.7209972997299727,model_cling_c,,0.3665309275627475,0.5052211453666379
100,10,"[1000, 1000, 1000]",1.0,0.8,10,10,0.9679414316793724,0.9690339085335055,0.9006480648064805,model_cling_c,,0.6993702783980337,0.6080753141007232
100,10,"[1000, 1000, 1000]",1.0,0.8,11,10,0.9610130887130831,0.9622915570257762,0.8902514251425142,model_cling_c,,0.6639485868387186,0.594863671680499
100,10,"[1000, 1000, 1000]",1.0,0.8,13,12,0.9790099639001341,0.9851441275746797,0.9150363036303629,model_cling_c,,0.6719976326536592,0.6066733952707747
100,10,"[1000, 1000, 1000]",1.0,0.8,12,10,0.9714674166484679,0.9827479451943903,0.8445604560456046,model_cling_c,,0.6011880050923818,0.5770526189580869
100,10,"[1000, 1000, 1000]",1.0,0.8,14,10,0.9590423499812372,0.9591439276748714,0.9155091509150914,model_cling_c,,0.6977011894993504,0.6022831516187688
100,10,"[1000, 1000, 1000]",1.0,0.8,15,10,0.9572782058941174,0.958485090426719,0.9624338433843385,model_cling_c,,0.8378459286907644,0.6387726381496289
100,10,"[1000, 1000, 1000]",1.0,0.8,18,11,0.9699913830402204,0.9751656620163556,0.810999099909991,model_cling_c,,0.5683510675748332,0.5661482406580067
100,10,"[1000, 1000, 1000]",1.0,0.8,17,10,0.9642241675214835,0.9645843389231444,0.9048568856885687,model_cling_c,,0.6848601321594617,0.6044351353862634
