N,K,D,noise_std,sparsity,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,10,"[1000, 1000, 1000]",1.0,0.8,0,11,0.6119138087684678,0.6119138245490175,0.8883900390039002,model_muvi_0.01,0.01,0.6657741343646391,0.5911624807481731
100,10,"[1000, 1000, 1000]",1.0,0.8,0,10,0.7189267758295492,0.7189267831491637,0.7398403840384038,model_muvi_0.01,0.01,0.4413770025344002,0.5107813321189842
100,10,"[1000, 1000, 1000]",1.0,0.8,1,11,0.47924636660807546,0.4792463777091315,0.9145406540654065,model_muvi_0.01,0.01,0.7190123667095307,0.6069163098275959
100,10,"[1000, 1000, 1000]",1.0,0.8,1,11,0.47924636660807546,0.4792463777091315,0.9145406540654065,model_muvi_0.01,0.01,0.7190123667095307,0.6069163098275959
100,10,"[1000, 1000, 1000]",1.0,0.8,2,14,0.6876557143655014,0.6876557156663727,0.8579441944194418,model_muvi_0.01,0.01,0.6277728487364165,0.5722743936025566
100,10,"[1000, 1000, 1000]",1.0,0.8,2,14,0.6876557143655014,0.6876557156663727,0.8579441944194418,model_muvi_0.01,0.01,0.6277728487364165,0.5722743936025566
100,10,"[1000, 1000, 1000]",1.0,0.8,3,11,0.6517767858263562,0.6517767979030742,0.6038283828382837,model_muvi_0.01,0.01,0.313400802001178,0.44963199447926744
100,10,"[1000, 1000, 1000]",1.0,0.8,3,11,0.6517767858263562,0.6517767979030742,0.6038283828382837,model_muvi_0.01,0.01,0.313400802001178,0.44963199447926744
100,10,"[1000, 1000, 1000]",1.0,0.8,4,11,0.6203992421813359,0.6203992295043896,0.7633531353135312,model_muvi_0.01,0.01,0.45661882341473714,0.5212640843187567
100,10,"[1000, 1000, 1000]",1.0,0.8,4,11,0.6203992421813359,0.6203992295043896,0.7633531353135312,model_muvi_0.01,0.01,0.45661882341473714,0.5212640843187567
100,10,"[1000, 1000, 1000]",1.0,0.8,5,10,0.6930285610231204,0.6930285624491095,0.6865490549054905,model_muvi_0.01,0.01,0.3615696078778607,0.4728452295871916
100,10,"[1000, 1000, 1000]",1.0,0.8,5,10,0.6930285610231204,0.6930285624491095,0.6865490549054905,model_muvi_0.01,0.01,0.3615696078778607,0.4728452295871916
100,10,"[1000, 1000, 1000]",1.0,0.8,6,13,0.7714679164007499,0.7714679218820968,0.7758487848784877,model_muvi_0.01,0.01,0.5502058809227228,0.5378675028705984
