N,K,D,noise_std,sparsity,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,10,"[1000, 1000, 1000]",1.0,0.8,1,10,0.6768239677000146,0.6768239677000147,0.5702826282628262,model_pca_0.02,0.02,0.38913063003352477,0.4408883594972606
100,10,"[1000, 1000, 1000]",1.0,0.8,0,10,0.6729989387002866,0.6729989387002866,0.5898625862586258,model_pca_0.02,0.02,0.3036085646221823,0.4100505922093839
100,10,"[1000, 1000, 1000]",1.0,0.8,3,10,0.6776191071347158,0.677619107134716,0.642972697269727,model_pca_0.02,0.02,0.45246708251332024,0.4668611339197817
100,10,"[1000, 1000, 1000]",1.0,0.8,2,10,0.680679935757854,0.680679935757854,0.5703702370237023,model_pca_0.02,0.02,0.3074721461932427,0.41897110443195285
100,10,"[1000, 1000, 1000]",1.0,0.8,4,10,0.6831969497683286,0.6831969497683286,0.6198139813981397,model_pca_0.02,0.02,0.3299013430917493,0.4330731924419202
100,10,"[1000, 1000, 1000]",1.0,0.8,5,10,0.6766694848577276,0.6766694848577275,0.5959759975997599,model_pca_0.02,0.02,0.30757388835690985,0.41234750363899153
100,10,"[1000, 1000, 1000]",1.0,0.8,6,10,0.6886445332975691,0.6886445332975691,0.5726060606060606,model_pca_0.02,0.02,0.3136349392382925,0.42006552960695137
100,10,"[1000, 1000, 1000]",1.0,0.8,7,10,0.6780009881614436,0.6780009881614437,0.5396903690369037,model_pca_0.02,0.02,0.24739054741746794,0.38108310541474893
100,10,"[1000, 1000, 1000]",1.0,0.8,9,10,0.6856983554402648,0.6856983554402649,0.6265466546654664,model_pca_0.02,0.02,0.3925609754049683,0.43600327525726573
100,10,"[1000, 1000, 1000]",1.0,0.8,8,10,0.6866721207970751,0.686672120797075,0.613065706570657,model_pca_0.02,0.02,0.3631472062859094,0.43077177163831754
100,10,"[1000, 1000, 1000]",1.0,0.8,11,10,0.6789647105365836,0.6789647105365837,0.5881776177617761,model_pca_0.02,0.02,0.3595806068055815,0.43354476143196025
100,10,"[1000, 1000, 1000]",1.0,0.8,10,10,0.6953258336321978,0.6953258336321977,0.6084452445244524,model_pca_0.02,0.02,0.4051428120855111,0.45058213225690186
100,10,"[1000, 1000, 1000]",1.0,0.8,12,10,0.6703695064493654,0.6703695064493655,0.5597635763576357,model_pca_0.02,0.02,0.33227445465804084,0.418032598318923
100,10,"[1000, 1000, 1000]",1.0,0.8,13,10,0.6844275820948313,0.6844275820948312,0.547165916591659,model_pca_0.02,0.02,0.24501155005554767,0.37976365367831
100,10,"[1000, 1000, 1000]",1.0,0.8,14,10,0.6733743485443521,0.6733743485443522,0.5744974497449744,model_pca_0.02,0.02,0.33881774712800466,0.41215610010113324
100,10,"[1000, 1000, 1000]",1.0,0.8,15,10,0.6766268020791651,0.6766268020791653,0.6434815481548154,model_pca_0.02,0.02,0.3585128113658483,0.4376453237602596
100,10,"[1000, 1000, 1000]",1.0,0.8,17,10,0.6834719843920274,0.6834719843920274,0.6039651965196519,model_pca_0.02,0.02,0.42367070243827726,0.4612804093263075
100,10,"[1000, 1000, 1000]",1.0,0.8,16,10,0.6727123225053226,0.6727123225053226,0.6010729072907289,model_pca_0.02,0.02,0.3290348292693912,0.4247813839440061
100,10,"[1000, 1000, 1000]",1.0,0.8,18,10,0.6863368464277292,0.6863368464277292,0.5856405640564055,model_pca_0.02,0.02,0.31370742492110804,0.4175426299916351
100,1,"[1000, 1000, 1000]",1.0,0.8,0,1,0.11558747622151562,0.11558747622151544,0.9986438643864384,model_pca_0.02,0.02,0.9422358324598062,0.6831326597196575
100,10,"[1000, 1000, 1000]",1.0,0.8,19,10,0.676939372241744,0.676939372241744,0.5459189918991899,model_pca_0.02,0.02,0.28715490327425847,0.3889496904887039
100,1,"[1000, 1000, 1000]",1.0,0.8,1,1,0.10964531875473404,0.10964531875473404,0.9978997899789978,model_pca_0.02,0.02,0.9355240229026638,0.6790299839334533
100,1,"[1000, 1000, 1000]",1.0,0.8,3,1,0.11820683623943846,0.1182068362394385,0.9987638763876386,model_pca_0.02,0.02,0.9293004729897935,0.6648317686167505
100,1,"[1000, 1000, 1000]",1.0,0.8,2,1,0.10991994172090629,0.10991994172090624,0.9985598559855984,model_pca_0.02,0.02,0.9421101774042951,0.6601547817016479
100,1,"[1000, 1000, 1000]",1.0,0.8,5,1,0.10354460197719884,0.10354460197719884,0.9989558955895589,model_pca_0.02,0.02,0.9234291994870856,0.6589926283422094
100,1,"[1000, 1000, 1000]",1.0,0.8,4,1,0.11572153818367892,0.11572153818367903,0.9985238523852384,model_pca_0.02,0.02,0.9295410471881059,0.6701598398504954
100,1,"[1000, 1000, 1000]",1.0,0.8,7,1,0.10300144304802912,0.10300144304802916,0.9980198019801979,model_pca_0.02,0.02,0.923076923076923,0.6439111389510718
100,1,"[1000, 1000, 1000]",1.0,0.8,6,1,0.100053817759029,0.100053817759029,0.9989558955895589,model_pca_0.02,0.02,0.9231954668847874,0.6506074518005905
100,1,"[1000, 1000, 1000]",1.0,0.8,8,1,0.1231710186579323,0.12317101865793234,0.9992679267926792,model_pca_0.02,0.02,0.9169719169719169,0.6778689753388202
100,1,"[1000, 1000, 1000]",1.0,0.8,9,1,0.10975198041501695,0.10975198041501688,0.999171917191719,model_pca_0.02,0.02,0.936012282546936,0.6491940139652955
100,1,"[1000, 1000, 1000]",1.0,0.8,10,1,0.10158749385750128,0.10158749385750132,0.9990519051905189,model_pca_0.02,0.02,0.8988872762457669,0.6511541188973732
100,1,"[1000, 1000, 1000]",1.0,0.8,11,1,0.11144968115412608,0.11144968115412612,0.9989798979897988,model_pca_0.02,0.02,0.899895627071186,0.6679960566601193
