,N,K,D,noise_level,theta_level,seed
0,100,5,"[400, 400, 400]",0.2,0.2,0
1,100,5,"[400, 400, 400]",0.2,0.2,1
2,100,5,"[400, 400, 400]",0.2,0.2,2
3,100,5,"[400, 400, 400]",0.2,0.2,3
4,100,5,"[400, 400, 400]",0.2,0.2,4
5,100,5,"[400, 400, 400]",0.2,0.2,5
6,100,5,"[400, 400, 400]",0.2,0.2,6
7,100,5,"[400, 400, 400]",0.2,0.2,7
8,100,5,"[400, 400, 400]",0.2,0.2,8
9,100,5,"[400, 400, 400]",0.2,0.2,9
10,100,5,"[400, 400, 400]",0.2,0.2,10
11,100,5,"[400, 400, 400]",0.2,0.2,11
12,100,5,"[400, 400, 400]",0.2,0.2,12
13,100,5,"[400, 400, 400]",0.2,0.2,13
14,100,5,"[400, 400, 400]",0.2,0.2,14
15,100,5,"[400, 400, 400]",0.2,0.2,15
16,100,5,"[400, 400, 400]",0.2,0.2,16
17,100,5,"[400, 400, 400]",0.2,0.2,17
18,100,5,"[400, 400, 400]",0.2,0.2,18
19,100,5,"[400, 400, 400]",0.2,0.2,19
20,100,1,"[400, 400, 400]",0.2,0.2,0
21,100,1,"[400, 400, 400]",0.2,0.2,1
22,100,1,"[400, 400, 400]",0.2,0.2,2
23,100,1,"[400, 400, 400]",0.2,0.2,3
24,100,1,"[400, 400, 400]",0.2,0.2,4
25,100,1,"[400, 400, 400]",0.2,0.2,5
26,100,1,"[400, 400, 400]",0.2,0.2,6
27,100,1,"[400, 400, 400]",0.2,0.2,7
28,100,1,"[400, 400, 400]",0.2,0.2,8
29,100,1,"[400, 400, 400]",0.2,0.2,9
30,100,1,"[400, 400, 400]",0.2,0.2,10
31,100,1,"[400, 400, 400]",0.2,0.2,11
32,100,1,"[400, 400, 400]",0.2,0.2,12
33,100,1,"[400, 400, 400]",0.2,0.2,13
34,100,1,"[400, 400, 400]",0.2,0.2,14
35,100,1,"[400, 400, 400]",0.2,0.2,15
36,100,1,"[400, 400, 400]",0.2,0.2,16
37,100,1,"[400, 400, 400]",0.2,0.2,17
38,100,1,"[400, 400, 400]",0.2,0.2,18
39,100,1,"[400, 400, 400]",0.2,0.2,19
40,100,7,"[400, 400, 400]",0.2,0.2,0
41,100,7,"[400, 400, 400]",0.2,0.2,1
42,100,7,"[400, 400, 400]",0.2,0.2,2
43,100,7,"[400, 400, 400]",0.2,0.2,3
44,100,7,"[400, 400, 400]",0.2,0.2,4
45,100,7,"[400, 400, 400]",0.2,0.2,5
46,100,7,"[400, 400, 400]",0.2,0.2,6
47,100,7,"[400, 400, 400]",0.2,0.2,7
48,100,7,"[400, 400, 400]",0.2,0.2,8
49,100,7,"[400, 400, 400]",0.2,0.2,9
50,100,7,"[400, 400, 400]",0.2,0.2,10
51,100,7,"[400, 400, 400]",0.2,0.2,11
52,100,7,"[400, 400, 400]",0.2,0.2,12
53,100,7,"[400, 400, 400]",0.2,0.2,13
54,100,7,"[400, 400, 400]",0.2,0.2,14
55,100,7,"[400, 400, 400]",0.2,0.2,15
56,100,7,"[400, 400, 400]",0.2,0.2,16
57,100,7,"[400, 400, 400]",0.2,0.2,17
58,100,7,"[400, 400, 400]",0.2,0.2,18
59,100,7,"[400, 400, 400]",0.2,0.2,19
60,100,10,"[400, 400, 400]",0.2,0.2,0
61,100,10,"[400, 400, 400]",0.2,0.2,1
62,100,10,"[400, 400, 400]",0.2,0.2,2
63,100,10,"[400, 400, 400]",0.2,0.2,3
64,100,10,"[400, 400, 400]",0.2,0.2,4
65,100,10,"[400, 400, 400]",0.2,0.2,5
66,100,10,"[400, 400, 400]",0.2,0.2,6
67,100,10,"[400, 400, 400]",0.2,0.2,7
68,100,10,"[400, 400, 400]",0.2,0.2,8
69,100,10,"[400, 400, 400]",0.2,0.2,9
70,100,10,"[400, 400, 400]",0.2,0.2,10
71,100,10,"[400, 400, 400]",0.2,0.2,11
72,100,10,"[400, 400, 400]",0.2,0.2,12
73,100,10,"[400, 400, 400]",0.2,0.2,13
74,100,10,"[400, 400, 400]",0.2,0.2,14
75,100,10,"[400, 400, 400]",0.2,0.2,15
76,100,10,"[400, 400, 400]",0.2,0.2,16
77,100,10,"[400, 400, 400]",0.2,0.2,17
78,100,10,"[400, 400, 400]",0.2,0.2,18
79,100,10,"[400, 400, 400]",0.2,0.2,19
80,100,15,"[400, 400, 400]",0.2,0.2,0
81,100,15,"[400, 400, 400]",0.2,0.2,1
82,100,15,"[400, 400, 400]",0.2,0.2,2
83,100,15,"[400, 400, 400]",0.2,0.2,3
84,100,15,"[400, 400, 400]",0.2,0.2,4
85,100,15,"[400, 400, 400]",0.2,0.2,5
86,100,15,"[400, 400, 400]",0.2,0.2,6
87,100,15,"[400, 400, 400]",0.2,0.2,7
88,100,15,"[400, 400, 400]",0.2,0.2,8
89,100,15,"[400, 400, 400]",0.2,0.2,9
90,100,15,"[400, 400, 400]",0.2,0.2,10
91,100,15,"[400, 400, 400]",0.2,0.2,11
92,100,15,"[400, 400, 400]",0.2,0.2,12
93,100,15,"[400, 400, 400]",0.2,0.2,13
94,100,15,"[400, 400, 400]",0.2,0.2,14
95,100,15,"[400, 400, 400]",0.2,0.2,15
96,100,15,"[400, 400, 400]",0.2,0.2,16
97,100,15,"[400, 400, 400]",0.2,0.2,17
98,100,15,"[400, 400, 400]",0.2,0.2,18
99,100,15,"[400, 400, 400]",0.2,0.2,19
100,100,20,"[400, 400, 400]",0.2,0.2,0
101,100,20,"[400, 400, 400]",0.2,0.2,1
102,100,20,"[400, 400, 400]",0.2,0.2,2
103,100,20,"[400, 400, 400]",0.2,0.2,3
104,100,20,"[400, 400, 400]",0.2,0.2,4
105,100,20,"[400, 400, 400]",0.2,0.2,5
106,100,20,"[400, 400, 400]",0.2,0.2,6
107,100,20,"[400, 400, 400]",0.2,0.2,7
108,100,20,"[400, 400, 400]",0.2,0.2,8
109,100,20,"[400, 400, 400]",0.2,0.2,9
110,100,20,"[400, 400, 400]",0.2,0.2,10
111,100,20,"[400, 400, 400]",0.2,0.2,11
112,100,20,"[400, 400, 400]",0.2,0.2,12
113,100,20,"[400, 400, 400]",0.2,0.2,13
114,100,20,"[400, 400, 400]",0.2,0.2,14
115,100,20,"[400, 400, 400]",0.2,0.2,15
116,100,20,"[400, 400, 400]",0.2,0.2,16
117,100,20,"[400, 400, 400]",0.2,0.2,17
118,100,20,"[400, 400, 400]",0.2,0.2,18
119,100,20,"[400, 400, 400]",0.2,0.2,19
120,100,25,"[400, 400, 400]",0.2,0.2,0
121,100,25,"[400, 400, 400]",0.2,0.2,1
122,100,25,"[400, 400, 400]",0.2,0.2,2
123,100,25,"[400, 400, 400]",0.2,0.2,3
124,100,25,"[400, 400, 400]",0.2,0.2,4
125,100,25,"[400, 400, 400]",0.2,0.2,5
126,100,25,"[400, 400, 400]",0.2,0.2,6
127,100,25,"[400, 400, 400]",0.2,0.2,7
128,100,25,"[400, 400, 400]",0.2,0.2,8
129,100,25,"[400, 400, 400]",0.2,0.2,9
130,100,25,"[400, 400, 400]",0.2,0.2,10
131,100,25,"[400, 400, 400]",0.2,0.2,11
132,100,25,"[400, 400, 400]",0.2,0.2,12
133,100,25,"[400, 400, 400]",0.2,0.2,13
134,100,25,"[400, 400, 400]",0.2,0.2,14
135,100,25,"[400, 400, 400]",0.2,0.2,15
136,100,25,"[400, 400, 400]",0.2,0.2,16
137,100,25,"[400, 400, 400]",0.2,0.2,17
138,100,25,"[400, 400, 400]",0.2,0.2,18
139,100,25,"[400, 400, 400]",0.2,0.2,19
140,100,5,"[400, 400, 400]",0.0,0.2,0
141,100,5,"[400, 400, 400]",0.0,0.2,1
142,100,5,"[400, 400, 400]",0.0,0.2,2
143,100,5,"[400, 400, 400]",0.0,0.2,3
