N,K,D,noise_level,theta_level,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,5,"[400, 400, 400]",0.2,0.2,2,5,0.9004793691824546,0.9133786482443811,0.8068886888688868,model_cling_AD_fast_new,,0.6144788058263801,0.6122423711297472
100,5,"[400, 400, 400]",0.2,0.2,0,5,0.9322778140795019,0.9467698078128158,0.952163216321632,model_cling_AD_fast_new,,0.790959847216922,0.6452056530438102
100,5,"[400, 400, 400]",0.2,0.2,3,5,0.8864394470809885,0.8905731314799833,0.8524980498049803,model_cling_AD_fast_new,,0.6587319552524258,0.5909529667484305
100,5,"[400, 400, 400]",0.2,0.2,1,5,0.8643485165132402,0.8611152984082757,0.9123936393639361,model_cling_AD_fast_new,,0.6962889571910299,0.6143468680036024
100,5,"[400, 400, 400]",0.2,0.2,4,5,0.953007268443371,0.9766568478759936,0.9053897389738973,model_cling_AD_fast_new,,0.7143850698097965,0.6331976659272222
100,5,"[400, 400, 400]",0.2,0.2,5,5,0.6088305788218222,0.09289656707243754,0.9194791479147915,model_cling_AD_fast_new,,0.7634123707815993,0.649246362863559
100,5,"[400, 400, 400]",0.2,0.2,6,5,0.9554572165736094,0.967320558343497,0.9613009300930091,model_cling_AD_fast_new,,0.7887303987171753,0.6322147094865549
100,5,"[400, 400, 400]",0.2,0.2,7,5,0.9030087065695657,0.914329839521549,0.8685700570057004,model_cling_AD_fast_new,,0.5962359672194845,0.6002365679885826
100,5,"[400, 400, 400]",0.2,0.2,8,5,0.9406484803486027,0.9423775399613006,0.9951755175517552,model_cling_AD_fast_new,,0.9339663550667522,0.6652970490020186
100,5,"[400, 400, 400]",0.2,0.2,9,5,0.9516309294450193,0.9570303829174917,0.9936105610561056,model_cling_AD_fast_new,,0.9171522512961267,0.6703337269747079
100,5,"[400, 400, 400]",0.2,0.2,11,5,0.9187789757514447,0.9297901090097811,0.9553363336333632,model_cling_AD_fast_new,,0.8084036063753455,0.650503719994835
100,5,"[400, 400, 400]",0.2,0.2,10,5,0.9383311131707793,0.9444028124384001,0.9606888688868885,model_cling_AD_fast_new,,0.8235888362769962,0.6546527792738686
100,5,"[400, 400, 400]",0.2,0.2,12,5,0.898634422091566,0.9050482064588143,0.9732109210921092,model_cling_AD_fast_new,,0.8464529636828596,0.665369253150821
100,5,"[400, 400, 400]",0.2,0.2,13,5,0.8962387157365055,0.8956583380276162,0.9998631863186317,model_cling_AD_fast_new,,0.9612853271389857,0.6715395856847781
100,5,"[400, 400, 400]",0.2,0.2,15,5,0.927442277099347,0.930145717593376,0.9983798379837981,model_cling_AD_fast_new,,0.9309738390850132,0.6684088907845438
100,5,"[400, 400, 400]",0.2,0.2,14,5,0.9147252641646274,0.9212580567709138,0.9674431443144312,model_cling_AD_fast_new,,0.8658183473514485,0.6465229836050782
100,5,"[400, 400, 400]",0.2,0.2,16,5,0.8452851829201297,0.844422426706271,0.9801908190819081,model_cling_AD_fast_new,,0.8808130445121566,0.6552652234292194
100,5,"[400, 400, 400]",0.2,0.2,17,5,0.8622858925429195,0.8722172010002157,0.8025370537053703,model_cling_AD_fast_new,,0.5066404602155894,0.565342796257709
100,5,"[400, 400, 400]",0.2,0.2,18,5,0.9546546133085755,0.9541048616079452,0.9391131113111311,model_cling_AD_fast_new,,0.7422269364617491,0.6231326612884325
100,5,"[400, 400, 400]",0.2,0.2,19,5,0.9448376640511172,0.9868350503904368,0.9997983798379837,model_cling_AD_fast_new,,0.9521378602490345,0.669700032932434
100,1,"[400, 400, 400]",0.2,0.2,0,1,0.618780527480799,0.6955379425953696,0.9998319831983197,model_cling_AD_fast_new,,0.9674796747967479,0.711174941891873
100,1,"[400, 400, 400]",0.2,0.2,1,1,0.6282282153115893,0.70867523467803,0.9998919891989198,model_cling_AD_fast_new,,0.983739837398374,0.6829114296490238
100,1,"[400, 400, 400]",0.2,0.2,2,1,0.7297755179988696,0.7853859836055119,0.9999039903990398,model_cling_AD_fast_new,,0.9519938056523422,0.6860389228479429
100,1,"[400, 400, 400]",0.2,0.2,3,1,0.5367535856255339,0.5493907731138625,0.9999159915991598,model_cling_AD_fast_new,,0.9512195121951219,0.6933136330025077
100,1,"[400, 400, 400]",0.2,0.2,4,1,0.7847004287907371,0.9663392022452137,0.9999279927992797,model_cling_AD_fast_new,,0.9512195121951219,0.6853112106011906
100,1,"[400, 400, 400]",0.2,0.2,5,1,0.3838921231778043,0.01863897444043372,0.9997959795979596,model_cling_AD_fast_new,,0.9357336430507162,0.684001351949553
100,1,"[400, 400, 400]",0.2,0.2,6,1,0.7939454026172624,0.9891773077969053,0.99996399639964,model_cling_AD_fast_new,,0.9674796747967479,0.7015280493098857
100,1,"[400, 400, 400]",0.2,0.2,7,1,0.6075522040700702,0.6038999174404425,0.9999519951995199,model_cling_AD_fast_new,,0.9512195121951219,0.6591764794859266
100,1,"[400, 400, 400]",0.2,0.2,8,1,0.6976341789637575,0.7806580499112165,0.9997959795979596,model_cling_AD_fast_new,,0.9674796747967479,0.663991368093749
100,1,"[400, 400, 400]",0.2,0.2,9,1,0.6579275692025519,0.6537085707976753,0.9998679867986798,model_cling_AD_fast_new,,0.983739837398374,0.6672291631239893
100,1,"[400, 400, 400]",0.2,0.2,10,1,0.5566923517648749,0.5780151445869821,0.9997599759975996,model_cling_AD_fast_new,,1.0,0.6866466061398526
100,1,"[400, 400, 400]",0.2,0.2,11,1,0.6568014274555988,0.7165330365130138,0.9998799879987997,model_cling_AD_fast_new,,0.9674796747967479,0.6826284829422063
100,1,"[400, 400, 400]",0.2,0.2,12,1,0.6470393218335654,0.6985822181298842,0.9998199819981998,model_cling_AD_fast_new,,0.9357336430507162,0.6578810546934215
100,1,"[400, 400, 400]",0.2,0.2,13,1,0.5872152521673214,0.6716638916101494,0.9998439843984397,model_cling_AD_fast_new,,0.9519938056523422,0.6843470743675234
100,1,"[400, 400, 400]",0.2,0.2,14,1,0.7235418755296387,0.7945956255113116,0.9998679867986798,model_cling_AD_fast_new,,0.9682539682539683,0.7039695561174187
100,1,"[400, 400, 400]",0.2,0.2,15,1,0.6937251692121441,0.7059495921336448,0.9997239723972396,model_cling_AD_fast_new,,0.9519938056523422,0.6795275121036922
100,1,"[400, 400, 400]",0.2,0.2,16,1,0.4579753213728616,0.4156068735656602,0.9997959795979596,model_cling_AD_fast_new,,0.9674796747967479,0.6644217207071749
100,1,"[400, 400, 400]",0.2,0.2,17,1,0.44356599717109074,0.42770429722566583,0.9996999699969996,model_cling_AD_fast_new,,0.9512195121951219,0.663375520110379
100,1,"[400, 400, 400]",0.2,0.2,18,1,0.7911306853597635,0.8555882393871979,0.9999159915991598,model_cling_AD_fast_new,,0.9674796747967479,0.660112731108497
100,1,"[400, 400, 400]",0.2,0.2,19,1,0.5534814171739676,0.6247117823464554,0.9998799879987997,model_cling_AD_fast_new,,0.9674796747967479,0.6810245810466392
100,7,"[400, 400, 400]",0.2,0.2,0,7,0.9359175402016245,0.9716030663428108,0.8608752303801808,model_cling_AD_fast_new,,0.6389534137925589,0.6031317265622896
100,7,"[400, 400, 400]",0.2,0.2,1,7,0.9229074771279292,0.9357604328713748,0.9072478676439071,model_cling_AD_fast_new,,0.7010143633242688,0.6149625134472413
100,7,"[400, 400, 400]",0.2,0.2,2,7,0.9482813069032198,0.951846999484393,0.906059748832026,model_cling_AD_fast_new,,0.7155747412695843,0.6324924031440483
100,7,"[400, 400, 400]",0.2,0.2,3,7,0.9497432705228448,0.9648144270229242,0.9613612789850412,model_cling_AD_fast_new,,0.8410229087213663,0.650443549648747
100,7,"[400, 400, 400]",0.2,0.2,4,7,0.963912428434709,0.9648835717461933,0.9496103896103893,model_cling_AD_fast_new,,0.7762252558239562,0.6394945171262684
100,7,"[400, 400, 400]",0.2,0.2,5,7,0.6840945654169547,0.29691057504885,0.8869469804123268,model_cling_AD_fast_new,,0.6260909891602235,0.6059826618845252
100,7,"[400, 400, 400]",0.2,0.2,6,7,0.9584879271081682,0.9635760708615598,0.917179717971797,model_cling_AD_fast_new,,0.7549438111332426,0.6349940140843253
100,7,"[400, 400, 400]",0.2,0.2,7,7,0.9336820917585339,0.9337769226858519,0.8773185890017573,model_cling_AD_fast_new,,0.7161583955501366,0.6302065096666688
