N,K,D,noise_level,theta_level,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,5,"[400, 400, 400]",0.2,0.2,3,3,0.44234347184891226,0.43592959851454316,0.6398055805580556,model_cling_ablation2,,0.5633018103806532,0.5036907889180138
100,5,"[400, 400, 400]",0.2,0.2,0,3,0.44835426794499195,0.43318449721182795,0.617132913291329,model_cling_ablation2,,0.3730790617645807,0.4400277098811342
100,5,"[400, 400, 400]",0.2,0.2,2,3,0.31434646587697357,0.12643254529099046,0.6042172217221722,model_cling_ablation2,,0.36298151302100573,0.4940651095085462
100,5,"[400, 400, 400]",0.2,0.2,1,3,0.49795298303971597,0.4711275862991806,0.633039303930393,model_cling_ablation2,,0.47986951407680645,0.4883539143441188
100,5,"[400, 400, 400]",0.2,0.2,4,3,0.3539070345417124,0.1720483548637488,0.581011701170117,model_cling_ablation2,,0.37250752205546894,0.4575372000286503
100,5,"[400, 400, 400]",0.2,0.2,7,3,0.4224947586316727,0.41253104017622955,0.5697185718571857,model_cling_ablation2,,0.33364488049537383,0.4412135608950915
100,5,"[400, 400, 400]",0.2,0.2,6,3,0.22883185266867692,0.19128897991569593,0.6327248724872486,model_cling_ablation2,,0.4604016511406633,0.48669162542676997
100,5,"[400, 400, 400]",0.2,0.2,5,4,0.4930866929161159,0.0794041968854462,0.8348106810681066,model_cling_ablation2,,0.687438414380083,0.5917937354373058
100,5,"[400, 400, 400]",0.2,0.2,8,3,0.4249736755113997,0.4074384831904492,0.6433819381938194,model_cling_ablation2,,0.5516991630913262,0.47539346218704165
100,5,"[400, 400, 400]",0.2,0.2,9,3,0.36107607909678824,0.31465551529519287,0.5323564356435644,model_cling_ablation2,,0.27453614281787886,0.4394107334235476
100,5,"[400, 400, 400]",0.2,0.2,10,3,0.3505241488030662,0.30102639348547655,0.47855025502550247,model_cling_ablation2,,0.2653465110953502,0.420163531834646
100,5,"[400, 400, 400]",0.2,0.2,11,3,0.44064565607553763,0.37357259949076593,0.5821518151815182,model_cling_ablation2,,0.40581768818680014,0.467530838939737
100,5,"[400, 400, 400]",0.2,0.2,12,3,0.535200594207871,0.5371205134485215,0.6388646864686468,model_cling_ablation2,,0.5383784404394729,0.4938449552283902
