N,K,D,noise_level,theta_level,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,5,"[400, 400, 400]",0.2,0.2,1,4,0.5344744684820008,0.515167806331251,0.7633003300330032,model_cling_ablation2a,,0.6082366719105348,0.5329416278007058
100,5,"[400, 400, 400]",0.2,0.2,0,4,0.6254901259807216,0.6532280243642912,0.7677047704770477,model_cling_ablation2a,,0.5525947753631972,0.5458436994766044
100,5,"[400, 400, 400]",0.2,0.2,3,4,0.3963658061667677,0.3019297156665508,0.7513399339933994,model_cling_ablation2a,,0.5999255589279434,0.5504614894579871
100,5,"[400, 400, 400]",0.2,0.2,2,4,0.664731413498988,0.6257948545768046,0.8074191419141913,model_cling_ablation2a,,0.7408100866106061,0.5853790027709332
100,5,"[400, 400, 400]",0.2,0.2,4,4,0.4506944556317631,0.21307343991146388,0.7455457545754576,model_cling_ablation2a,,0.5385267248606891,0.5313313678905768
100,5,"[400, 400, 400]",0.2,0.2,6,4,0.34645049132673994,0.29678513804601536,0.7743630363036302,model_cling_ablation2a,,0.5520791144085048,0.5397801083150715
100,5,"[400, 400, 400]",0.2,0.2,7,4,0.6691937836915732,0.6649395005753678,0.7005820582058204,model_cling_ablation2a,,0.46887442544429964,0.5130147060067433
100,5,"[400, 400, 400]",0.2,0.2,5,5,0.6110128030892185,0.09356589085877676,0.9684632463246323,model_cling_ablation2a,,0.7951499519686158,0.6382265371498363
100,5,"[400, 400, 400]",0.2,0.2,8,4,0.6707388230757219,0.6538431359766338,0.8299645964596458,model_cling_ablation2a,,0.6960068309626541,0.581382698875932
100,5,"[400, 400, 400]",0.2,0.2,9,4,0.5008417271242419,0.45381196339997065,0.7138577857785778,model_cling_ablation2a,,0.40614937821665975,0.5117920292951622
100,5,"[400, 400, 400]",0.2,0.2,10,4,0.47388988510097746,0.42788662386110266,0.7358991899189918,model_cling_ablation2a,,0.5298923098631484,0.47669486139484923
100,5,"[400, 400, 400]",0.2,0.2,11,4,0.6036209680915828,0.4970639333392243,0.745144914491449,model_cling_ablation2a,,0.5489851412238788,0.548082715909994
100,5,"[400, 400, 400]",0.2,0.2,12,4,0.6598445842385697,0.6537064083384521,0.8084104410441043,model_cling_ablation2a,,0.7173052713960076,0.5713127695562338
100,5,"[400, 400, 400]",0.2,0.2,13,4,0.5371805798458851,0.545574347621439,0.6951983198319832,model_cling_ablation2a,,0.5123042860291719,0.5120771726164476
100,5,"[400, 400, 400]",0.2,0.2,14,4,0.4737244786697061,0.4521397202955161,0.8065214521452144,model_cling_ablation2a,,0.6323095024803908,0.5523131849205382
100,5,"[400, 400, 400]",0.2,0.2,15,4,0.7836851379824309,0.7964846462782332,0.8147230723072306,model_cling_ablation2a,,0.6414870163193521,0.5826835453951654
100,5,"[400, 400, 400]",0.2,0.2,16,4,0.608670714764083,0.5884203383797537,0.802112211221122,model_cling_ablation2a,,0.64507389922659,0.5627068280136426
