N,K,D,noise_level,theta_level,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,5,"[400, 400, 400]",0.2,0.2,1,7,0.7637144285018874,0.9038248630986606,0.9304578457845782,model_mofa_prune_0.01,0.01,0.6831891834018798,0.6180870304147565
100,5,"[400, 400, 400]",0.2,0.2,0,5,0.8999780712901795,0.8988558430526137,0.6351779177917791,model_mofa_prune_0.01,0.01,0.31215755648631266,0.48686812484397674
100,5,"[400, 400, 400]",0.2,0.2,2,5,0.9671643462036154,0.9710556802016279,0.9168916891689168,model_mofa_prune_0.01,0.01,0.7052201777871624,0.5905717934454008
100,5,"[400, 400, 400]",0.2,0.2,3,7,0.9036135712689578,0.9246708246744203,0.9779945994599458,model_mofa_prune_0.01,0.01,0.8159502683514842,0.6183420414568971
100,5,"[400, 400, 400]",0.2,0.2,4,5,0.953926485412865,0.9769663516105439,0.8486576657665765,model_mofa_prune_0.01,0.01,0.5004954504260823,0.5747452817810493
100,5,"[400, 400, 400]",0.2,0.2,5,6,0.9277698991555066,0.988033589269761,0.7849792979297929,model_mofa_prune_0.01,0.01,0.40214139133245597,0.5409166753915307
100,5,"[400, 400, 400]",0.2,0.2,6,5,0.9565920519797069,0.9680822128573877,0.9043408340834084,model_mofa_prune_0.01,0.01,0.614981932107074,0.5951232678408136
100,5,"[400, 400, 400]",0.2,0.2,7,5,0.9042062431774586,0.9152473425455396,0.7532241224122411,model_mofa_prune_0.01,0.01,0.38784930633330583,0.5512399845415573
100,5,"[400, 400, 400]",0.2,0.2,8,5,0.9449117203813188,0.9541183626767998,0.9218721872187217,model_mofa_prune_0.01,0.01,0.6619253145507857,0.5981625324851786
100,5,"[400, 400, 400]",0.2,0.2,9,5,0.9518734895169101,0.9572488979300205,0.817209720972097,model_mofa_prune_0.01,0.01,0.48823738108958153,0.5541263903401974
100,5,"[400, 400, 400]",0.2,0.2,10,5,0.910510195871795,0.9525069894296836,0.9455337533753374,model_mofa_prune_0.01,0.01,0.7927112395442623,0.6356480576324273
100,5,"[400, 400, 400]",0.2,0.2,11,5,0.9489965921241725,0.967282891419427,0.8101890189018901,model_mofa_prune_0.01,0.01,0.5181155460327252,0.5619772529726309
100,5,"[400, 400, 400]",0.2,0.2,13,6,0.9112288697156607,0.9108852351119385,0.9675487548754875,model_mofa_prune_0.01,0.01,0.7820236870127383,0.6407756004059578
100,5,"[400, 400, 400]",0.2,0.2,12,7,0.9011951554432415,0.9074756173684605,0.85601200120012,model_mofa_prune_0.01,0.01,0.5003533563196872,0.5729388806409046
100,5,"[400, 400, 400]",0.2,0.2,14,5,0.9162600059723497,0.922756276301651,0.8448004800480046,model_mofa_prune_0.01,0.01,0.5928817508064228,0.5768350694188498
100,5,"[400, 400, 400]",0.2,0.2,15,6,0.9292652813236311,0.9318927840511187,0.901069306930693,model_mofa_prune_0.01,0.01,0.6366971994879619,0.6144928630796688
100,5,"[400, 400, 400]",0.2,0.2,17,6,0.8820792052309426,0.8954936931048414,0.7257893789378936,model_mofa_prune_0.01,0.01,0.34675566369364136,0.494415774896398
