N,K,D,noise_level,theta_level,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,5,"[400, 400, 400]",0.2,0.2,3,5,0.48534109174848633,0.4853410667744559,0.7137665766576656,model_muvi_0.01,0.01,0.3767563501947916,0.5125165411446809
100,5,"[400, 400, 400]",0.2,0.2,0,6,0.780637244986667,0.7806372301631631,0.6806528652865285,model_muvi_0.01,0.01,0.33561552418291557,0.5009994055068745
100,5,"[400, 400, 400]",0.2,0.2,2,7,0.609423037559679,0.609423037559679,0.8419753975397539,model_muvi_0.01,0.01,0.5640131992682174,0.5791832954497483
100,5,"[400, 400, 400]",0.2,0.2,1,9,0.6784195728948621,0.6784195728948621,0.8686588658865887,model_muvi_0.01,0.01,0.5535624774778689,0.5444161156949878
100,5,"[400, 400, 400]",0.2,0.2,4,5,0.5688216613093898,0.5688216500644487,0.6956495649564955,model_muvi_0.01,0.01,0.3225249768971524,0.5215725417609998
100,5,"[400, 400, 400]",0.2,0.2,7,8,0.771138428974287,0.7711384149343573,0.7622394239423942,model_muvi_0.01,0.01,0.4041442799786489,0.5026911054278417
100,5,"[400, 400, 400]",0.2,0.2,6,5,0.5057424488553879,0.5057424167589433,0.7285664566456644,model_muvi_0.01,0.01,0.38342499243115824,0.5558048738647006
100,5,"[400, 400, 400]",0.2,0.2,5,7,0.5851760715254298,0.5851760771582165,0.7787074707470747,model_muvi_0.01,0.01,0.4559241559459965,0.5415894733947864
100,5,"[400, 400, 400]",0.2,0.2,10,9,0.6233390269902739,0.623339006669432,0.7969156915691566,model_muvi_0.01,0.01,0.4388539857536377,0.5145195024823256
100,5,"[400, 400, 400]",0.2,0.2,8,6,0.8307825360323803,0.83078253059724,0.7517503750375036,model_muvi_0.01,0.01,0.41013697632749935,0.5192455072464319
100,5,"[400, 400, 400]",0.2,0.2,9,6,0.6637786176247017,0.6637786010274191,0.8129996999699969,model_muvi_0.01,0.01,0.48903110187027354,0.5625265649185377
100,5,"[400, 400, 400]",0.2,0.2,11,6,0.754412735595697,0.7544127195945632,0.6844092409240924,model_muvi_0.01,0.01,0.35506856898042677,0.49389253241996844
100,5,"[400, 400, 400]",0.2,0.2,13,6,0.6525261245525162,0.6525261245525162,0.8123684368436843,model_muvi_0.01,0.01,0.506645963020398,0.5613714152836856
100,5,"[400, 400, 400]",0.2,0.2,12,6,0.8681938720543597,0.8681938763449232,0.7622082208220821,model_muvi_0.01,0.01,0.4513313011085316,0.5400380123613608
100,5,"[400, 400, 400]",0.2,0.2,14,8,0.7310765352635394,0.7310765386590159,0.7965580558055805,model_muvi_0.01,0.01,0.49999774696521637,0.5447205574046522
100,5,"[400, 400, 400]",0.2,0.2,15,7,0.8571899449952135,0.8571899407700859,0.657003300330033,model_muvi_0.01,0.01,0.3277308745321774,0.500591155699068
100,5,"[400, 400, 400]",0.2,0.2,16,6,0.7023973818254347,0.7023973935153109,0.8335889588958894,model_muvi_0.01,0.01,0.590052434991288,0.5871666252634115
