N,K,D,noise_level,theta_level,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,5,"[400, 400, 400]",0.2,0.2,3,5,0.5214474281082623,0.5214474281082622,0.6753819381938193,model_tucker_0.01,0.01,0.3396694023734052,0.49540116825747665
100,5,"[400, 400, 400]",0.2,0.2,2,5,0.5418789746492112,0.5418789746492112,0.6987050705070506,model_tucker_0.01,0.01,0.44768076132899587,0.5143754143494407
100,5,"[400, 400, 400]",0.2,0.2,1,5,0.5531040270754857,0.5531040270754857,0.6980642064206419,model_tucker_0.01,0.01,0.43218096290205854,0.5207076963670872
100,5,"[400, 400, 400]",0.2,0.2,0,5,0.5531443798436978,0.5531443798436978,0.7804692469246924,model_tucker_0.01,0.01,0.44954038574705113,0.5650345174901977
100,5,"[400, 400, 400]",0.2,0.2,4,5,0.5381630675257237,0.5381630675257238,0.6316687668766876,model_tucker_0.01,0.01,0.3493158638100935,0.49115424656319107
100,5,"[400, 400, 400]",0.2,0.2,5,5,0.5541739394850227,0.5541739394850227,0.6923108310831083,model_tucker_0.01,0.01,0.33269715984864046,0.5214959983405005
100,5,"[400, 400, 400]",0.2,0.2,6,5,0.5306205157119234,0.5306205157119233,0.6982826282628263,model_tucker_0.01,0.01,0.4517349295737692,0.5378735385027716
100,5,"[400, 400, 400]",0.2,0.2,7,5,0.5450215481547842,0.5450215481547842,0.6394143414341433,model_tucker_0.01,0.01,0.34132273665515556,0.5125942409702764
100,5,"[400, 400, 400]",0.2,0.2,8,5,0.5296789280417447,0.5296789280417447,0.7445184518451844,model_tucker_0.01,0.01,0.44980446309341177,0.5321602065474826
100,5,"[400, 400, 400]",0.2,0.2,9,5,0.5512802743601541,0.5512802743601541,0.6325472547254725,model_tucker_0.01,0.01,0.3353503739881559,0.5030534434617318
100,5,"[400, 400, 400]",0.2,0.2,11,5,0.5317317898418686,0.5317317898418686,0.619149114911491,model_tucker_0.01,0.01,0.29440251358783287,0.4758230871156715
100,5,"[400, 400, 400]",0.2,0.2,10,5,0.5530481815041041,0.553048181504104,0.7077179717971797,model_tucker_0.01,0.01,0.5419063709652712,0.5468359256268605
100,5,"[400, 400, 400]",0.2,0.2,12,5,0.5560918650722022,0.5560918650722022,0.6310447044704469,model_tucker_0.01,0.01,0.4322799819121538,0.50515308931806
100,5,"[400, 400, 400]",0.2,0.2,13,5,0.5376894899013239,0.5376894899013239,0.7313243324332432,model_tucker_0.01,0.01,0.36753026904809816,0.5500685769114528
100,5,"[400, 400, 400]",0.2,0.2,14,5,0.5558033330781775,0.5558033330781775,0.7293321332133212,model_tucker_0.01,0.01,0.40084314504846236,0.5448451745846329
100,5,"[400, 400, 400]",0.2,0.2,15,5,0.5422121172081519,0.5422121172081519,0.7202112211221122,model_tucker_0.01,0.01,0.5408543189028181,0.5427976758014249
100,5,"[400, 400, 400]",0.2,0.2,16,5,0.5103763766116394,0.5103763766116394,0.7074299429942993,model_tucker_0.01,0.01,0.37693315873130445,0.518822090851548
100,5,"[400, 400, 400]",0.2,0.2,17,5,0.5381809161516743,0.5381809161516744,0.6658913891389139,model_tucker_0.01,0.01,0.4611059259341451,0.5263590293160864
100,5,"[400, 400, 400]",0.2,0.2,18,5,0.5197562623893878,0.5197562623893877,0.6752571257125711,model_tucker_0.01,0.01,0.4182513982880175,0.49816593384048125
100,5,"[400, 400, 400]",0.2,0.2,19,5,0.5419744274801386,0.5419744274801386,0.7567692769276927,model_tucker_0.01,0.01,0.4759324743815382,0.5563753061450752
100,1,"[400, 400, 400]",0.2,0.2,0,30,0.5066212818926816,0.5066212818926816,0.9989318931893187,model_tucker_0.01,0.01,0.6244140864201654,0.7114203589291407
100,1,"[400, 400, 400]",0.2,0.2,2,30,0.49715486811925785,0.4971548681192578,0.9991839183918391,model_tucker_0.01,0.01,0.7155240346729709,0.68608492820066
100,1,"[400, 400, 400]",0.2,0.2,1,30,0.4967098305907898,0.4967098305907899,0.9987518751875186,model_tucker_0.01,0.01,0.7273443656422379,0.6839221074405888
100,1,"[400, 400, 400]",0.2,0.2,3,30,0.49937885281711236,0.49937885281711225,0.9989078907890787,model_tucker_0.01,0.01,0.6923658352229781,0.6953853741622851
100,1,"[400, 400, 400]",0.2,0.2,4,30,0.4958459306586161,0.49584593065861615,0.9988598859885988,model_tucker_0.01,0.01,0.7396786240449517,0.6859886092339212
100,1,"[400, 400, 400]",0.2,0.2,5,30,0.4973857884661239,0.4973857884661239,0.9986558655865586,model_tucker_0.01,0.01,0.6933018124507487,0.6855299195739338
100,1,"[400, 400, 400]",0.2,0.2,6,30,0.5051042495343249,0.5051042495343248,0.9992439243924391,model_tucker_0.01,0.01,0.6671491291552082,0.7009188008306076
100,1,"[400, 400, 400]",0.2,0.2,7,30,0.49438654757158246,0.4943865475715824,0.9986318631863185,model_tucker_0.01,0.01,0.7037037037037037,0.6577072456251146
